player,opp,games,fg3_made,fg3_att,3pm_per_game,3p_pct
A.J. Green,DAL,2,7.0,12.0,3.5,0.5833333333333334
A.J. Green,DEN,2,7.0,12.0,3.5,0.5833333333333334
A.J. Green,POR,2,7.0,13.0,3.5,0.5384615384615384
A.J. Green,MIN,2,6.0,13.0,3.0,0.46153846153846156
A.J. Green,WAS,3,8.0,21.0,2.6666666666666665,0.38095238095238093
A.J. Green,CHI,4,10.0,19.0,2.5,0.5263157894736842
A.J. Green,HOU,2,5.0,13.0,2.5,0.38461538461538464
A.J. Green,SAC,2,5.0,16.0,2.5,0.3125
A.J. Green,BOS,3,7.0,10.0,2.3333333333333335,0.7
A.J. Green,NYK,3,7.0,16.0,2.3333333333333335,0.4375
A.J. Green,TOR,3,7.0,20.0,2.3333333333333335,0.35
A.J. Green,DET,4,9.0,16.0,2.25,0.5625
A.J. Green,IND,4,8.0,23.0,2.0,0.34782608695652173
A.J. Green,SAS,2,4.0,9.0,2.0,0.4444444444444444
A.J. Green,UTA,2,4.0,6.0,2.0,0.6666666666666666
A.J. Green,CLE,4,7.0,14.0,1.75,0.5
A.J. Green,CHO,3,5.0,11.0,1.6666666666666667,0.45454545454545453
A.J. Green,LAC,2,3.0,8.0,1.5,0.375
A.J. Green,LAL,2,3.0,6.0,1.5,0.5
A.J. Green,MEM,2,3.0,7.0,1.5,0.42857142857142855
A.J. Green,MIA,4,6.0,14.0,1.5,0.42857142857142855
A.J. Green,NOP,2,3.0,8.0,1.5,0.375
A.J. Green,PHI,4,6.0,9.0,1.5,0.6666666666666666
A.J. Green,ATL,5,7.0,25.0,1.4,0.28
A.J. Green,BRK,4,5.0,13.0,1.25,0.38461538461538464
A.J. Green,OKC,2,2.0,6.0,1.0,0.3333333333333333
A.J. Green,ORL,4,3.0,13.0,0.75,0.23076923076923078
A.J. Green,GSW,2,1.0,6.0,0.5,0.16666666666666666
A.J. Green,PHO,2,0.0,4.0,0.0,0.0
A.J. Lawson,WAS,4,9.0,24.0,2.25,0.375
A.J. Lawson,UTA,2,3.0,14.0,1.5,0.21428571428571427
A.J. Lawson,PHI,3,4.0,11.0,1.3333333333333333,0.36363636363636365
A.J. Lawson,CHO,2,2.0,7.0,1.0,0.2857142857142857
A.J. Lawson,DAL,1,1.0,4.0,1.0,0.25
A.J. Lawson,PHO,2,2.0,5.0,1.0,0.4
A.J. Lawson,POR,2,2.0,8.0,1.0,0.25
A.J. Lawson,ORL,4,3.0,4.0,0.75,0.75
A.J. Lawson,CHI,4,2.0,3.0,0.5,0.6666666666666666
A.J. Lawson,DET,2,1.0,4.0,0.5,0.25
A.J. Lawson,MEM,2,1.0,1.0,0.5,1.0
A.J. Lawson,SAS,2,1.0,4.0,0.5,0.25
A.J. Lawson,NYK,3,1.0,1.0,0.3333333333333333,1.0
A.J. Lawson,BRK,4,1.0,7.0,0.25,0.14285714285714285
A.J. Lawson,ATL,3,0.0,0.0,0.0,
A.J. Lawson,BOS,3,0.0,3.0,0.0,0.0
A.J. Lawson,CLE,2,0.0,0.0,0.0,
A.J. Lawson,GSW,2,0.0,1.0,0.0,0.0
A.J. Lawson,HOU,2,0.0,0.0,0.0,
A.J. Lawson,IND,1,0.0,0.0,0.0,
A.J. Lawson,LAC,1,0.0,0.0,0.0,
A.J. Lawson,MIA,2,0.0,0.0,0.0,
A.J. Lawson,MIL,2,0.0,0.0,0.0,
A.J. Lawson,NOP,1,0.0,0.0,0.0,
A.J. Lawson,OKC,1,0.0,0.0,0.0,
AJ Johnson,OKC,1,2.0,4.0,2.0,0.5
AJ Johnson,DEN,1,1.0,2.0,1.0,0.5
AJ Johnson,SAC,2,2.0,6.0,1.0,0.3333333333333333
AJ Johnson,NYK,3,2.0,5.0,0.6666666666666666,0.4
AJ Johnson,BOS,4,2.0,8.0,0.5,0.25
AJ Johnson,BRK,6,3.0,7.0,0.5,0.42857142857142855
AJ Johnson,ORL,6,3.0,5.0,0.5,0.6
AJ Johnson,PHI,4,2.0,14.0,0.5,0.14285714285714285
AJ Johnson,MIA,5,2.0,9.0,0.4,0.2222222222222222
AJ Johnson,DET,4,1.0,1.0,0.25,1.0
AJ Johnson,POR,4,1.0,4.0,0.25,0.25
AJ Johnson,UTA,4,1.0,5.0,0.25,0.2
AJ Johnson,IND,5,1.0,7.0,0.2,0.14285714285714285
AJ Johnson,TOR,6,1.0,6.0,0.16666666666666666,0.16666666666666666
AJ Johnson,ATL,3,0.0,1.0,0.0,0.0
AJ Johnson,CHI,5,0.0,4.0,0.0,0.0
AJ Johnson,CHO,4,0.0,0.0,0.0,
AJ Johnson,CLE,4,0.0,2.0,0.0,0.0
AJ Johnson,HOU,1,0.0,0.0,0.0,
AJ Johnson,LAC,1,0.0,0.0,0.0,
AJ Johnson,MEM,2,0.0,0.0,0.0,
AJ Johnson,MIL,1,0.0,0.0,0.0,
AJ Johnson,SAS,3,0.0,0.0,0.0,
AJ Johnson,WAS,2,0.0,0.0,0.0,
Aaron Gordon,LAL,4,11.0,20.0,2.75,0.55
Aaron Gordon,MIN,4,11.0,20.0,2.75,0.55
Aaron Gordon,PHO,4,10.0,16.0,2.5,0.625
Aaron Gordon,GSW,3,7.0,12.0,2.3333333333333335,0.5833333333333334
Aaron Gordon,PHI,2,4.0,4.0,2.0,1.0
Aaron Gordon,TOR,2,3.0,4.0,1.5,0.75
Aaron Gordon,IND,2,2.0,5.0,1.0,0.4
Aaron Gordon,MIL,2,2.0,8.0,1.0,0.25
Aaron Gordon,LAC,4,3.0,8.0,0.75,0.375
Aaron Gordon,NOP,4,3.0,8.0,0.75,0.375
Aaron Gordon,SAC,4,3.0,11.0,0.75,0.2727272727272727
Aaron Gordon,UTA,4,3.0,5.0,0.75,0.6
Aaron Gordon,HOU,3,2.0,6.0,0.6666666666666666,0.3333333333333333
Aaron Gordon,MEM,3,2.0,7.0,0.6666666666666666,0.2857142857142857
Aaron Gordon,BRK,2,1.0,3.0,0.5,0.3333333333333333
Aaron Gordon,CHO,2,1.0,6.0,0.5,0.16666666666666666
Aaron Gordon,MIA,2,1.0,3.0,0.5,0.3333333333333333
Aaron Gordon,NYK,2,1.0,1.0,0.5,1.0
Aaron Gordon,ORL,2,1.0,3.0,0.5,0.3333333333333333
Aaron Gordon,POR,4,2.0,7.0,0.5,0.2857142857142857
Aaron Gordon,DAL,4,1.0,5.0,0.25,0.2
Aaron Gordon,OKC,4,1.0,2.0,0.25,0.5
Aaron Gordon,ATL,2,0.0,4.0,0.0,0.0
Aaron Gordon,BOS,2,0.0,0.0,0.0,
Aaron Gordon,CHI,2,0.0,2.0,0.0,0.0
Aaron Gordon,CLE,2,0.0,2.0,0.0,0.0
Aaron Gordon,DET,2,0.0,0.0,0.0,
Aaron Gordon,SAS,3,0.0,0.0,0.0,
Aaron Gordon,WAS,2,0.0,0.0,0.0,
Aaron Nesmith,ATL,3,8.0,20.0,2.6666666666666665,0.4
Aaron Nesmith,DEN,2,5.0,11.0,2.5,0.45454545454545453
Aaron Nesmith,CHI,4,9.0,18.0,2.25,0.5
Aaron Nesmith,MIL,4,7.0,11.0,1.75,0.6363636363636364
Aaron Nesmith,DAL,2,3.0,5.0,1.5,0.6
Aaron Nesmith,LAL,2,3.0,12.0,1.5,0.25
Aaron Nesmith,MEM,2,3.0,5.0,1.5,0.6
Aaron Nesmith,MIN,2,3.0,3.0,1.5,1.0
Aaron Nesmith,PHI,4,6.0,10.0,1.5,0.6
Aaron Nesmith,UTA,2,3.0,5.0,1.5,0.6
Aaron Nesmith,WAS,4,6.0,11.0,1.5,0.5454545454545454
Aaron Nesmith,BRK,4,4.0,10.0,1.0,0.4
Aaron Nesmith,CHO,3,3.0,9.0,1.0,0.3333333333333333
Aaron Nesmith,CLE,4,4.0,8.0,1.0,0.5
Aaron Nesmith,LAC,2,2.0,7.0,1.0,0.2857142857142857
Aaron Nesmith,DET,4,3.0,7.0,0.75,0.42857142857142855
Aaron Nesmith,BOS,3,2.0,4.0,0.6666666666666666,0.5
Aaron Nesmith,NOP,3,2.0,2.0,0.6666666666666666,1.0
Aaron Nesmith,TOR,3,2.0,5.0,0.6666666666666666,0.4
Aaron Nesmith,HOU,2,1.0,6.0,0.5,0.16666666666666666
Aaron Nesmith,OKC,2,1.0,3.0,0.5,0.3333333333333333
Aaron Nesmith,POR,2,1.0,2.0,0.5,0.5
Aaron Nesmith,SAC,2,1.0,8.0,0.5,0.125
Aaron Nesmith,SAS,2,1.0,5.0,0.5,0.2
Aaron Nesmith,MIA,4,1.0,4.0,0.25,0.25
Aaron Nesmith,GSW,2,0.0,0.0,0.0,
Aaron Nesmith,NYK,3,0.0,3.0,0.0,0.0
Aaron Nesmith,ORL,4,0.0,1.0,0.0,0.0
Aaron Nesmith,PHO,2,0.0,0.0,0.0,
Aaron Wiggins,CHO,2,6.0,13.0,3.0,0.46153846153846156
Aaron Wiggins,MEM,4,12.0,22.0,3.0,0.5454545454545454
Aaron Wiggins,SAS,3,8.0,18.0,2.6666666666666665,0.4444444444444444
Aaron Wiggins,UTA,4,10.0,23.0,2.5,0.43478260869565216
Aaron Wiggins,SAC,3,7.0,16.0,2.3333333333333335,0.4375
Aaron Wiggins,ATL,2,4.0,7.0,2.0,0.5714285714285714
Aaron Wiggins,LAC,4,8.0,19.0,2.0,0.42105263157894735
Aaron Wiggins,MIN,4,8.0,16.0,2.0,0.5
Aaron Wiggins,NOP,4,8.0,22.0,2.0,0.36363636363636365
Aaron Wiggins,NYK,2,4.0,6.0,2.0,0.6666666666666666
Aaron Wiggins,PHI,2,4.0,11.0,2.0,0.36363636363636365
Aaron Wiggins,BOS,2,3.0,10.0,1.5,0.3
Aaron Wiggins,ORL,2,3.0,6.0,1.5,0.5
Aaron Wiggins,POR,4,6.0,22.0,1.5,0.2727272727272727
Aaron Wiggins,TOR,2,3.0,11.0,1.5,0.2727272727272727
Aaron Wiggins,WAS,2,3.0,9.0,1.5,0.3333333333333333
Aaron Wiggins,HOU,5,7.0,17.0,1.4,0.4117647058823529
Aaron Wiggins,GSW,3,4.0,10.0,1.3333333333333333,0.4
Aaron Wiggins,DAL,4,5.0,19.0,1.25,0.2631578947368421
Aaron Wiggins,DEN,4,5.0,12.0,1.25,0.4166666666666667
Aaron Wiggins,BRK,2,2.0,11.0,1.0,0.18181818181818182
Aaron Wiggins,MIA,2,2.0,9.0,1.0,0.2222222222222222
Aaron Wiggins,MIL,2,2.0,6.0,1.0,0.3333333333333333
Aaron Wiggins,PHO,3,3.0,6.0,1.0,0.5
Aaron Wiggins,LAL,3,2.0,11.0,0.6666666666666666,0.18181818181818182
Aaron Wiggins,CLE,2,1.0,3.0,0.5,0.3333333333333333
Aaron Wiggins,CHI,2,0.0,2.0,0.0,0.0
Aaron Wiggins,DET,2,0.0,0.0,0.0,
Aaron Wiggins,IND,2,0.0,2.0,0.0,0.0
Adam Flagler,UTA,4,5.0,13.0,1.25,0.38461538461538464
Adam Flagler,ATL,2,2.0,2.0,1.0,1.0
Adam Flagler,CHI,2,1.0,1.0,0.5,1.0
Adam Flagler,CHO,2,1.0,2.0,0.5,0.5
Adam Flagler,NOP,4,2.0,10.0,0.5,0.2
Adam Flagler,PHI,2,1.0,6.0,0.5,0.16666666666666666
Adam Flagler,PHO,3,1.0,5.0,0.3333333333333333,0.2
Adam Flagler,SAS,3,1.0,7.0,0.3333333333333333,0.14285714285714285
Adam Flagler,BOS,2,0.0,0.0,0.0,
Adam Flagler,BRK,2,0.0,1.0,0.0,0.0
Adam Flagler,CLE,2,0.0,8.0,0.0,0.0
Adam Flagler,DAL,4,0.0,0.0,0.0,
Adam Flagler,DEN,4,0.0,0.0,0.0,
Adam Flagler,DET,2,0.0,0.0,0.0,
Adam Flagler,GSW,3,0.0,0.0,0.0,
Adam Flagler,HOU,5,0.0,0.0,0.0,
Adam Flagler,IND,2,0.0,1.0,0.0,0.0
Adam Flagler,LAC,4,0.0,0.0,0.0,
Adam Flagler,LAL,3,0.0,1.0,0.0,0.0
Adam Flagler,MEM,4,0.0,0.0,0.0,
Adam Flagler,MIA,2,0.0,0.0,0.0,
Adam Flagler,MIL,2,0.0,9.0,0.0,0.0
Adam Flagler,MIN,4,0.0,2.0,0.0,0.0
Adam Flagler,NYK,2,0.0,0.0,0.0,
Adam Flagler,ORL,2,0.0,0.0,0.0,
Adam Flagler,POR,4,0.0,1.0,0.0,0.0
Adam Flagler,SAC,3,0.0,2.0,0.0,0.0
Adam Flagler,TOR,2,0.0,1.0,0.0,0.0
Adam Flagler,WAS,2,0.0,0.0,0.0,
Adem Bona,ATL,3,0.0,0.0,0.0,
Adem Bona,BOS,4,0.0,0.0,0.0,
Adem Bona,BRK,4,0.0,0.0,0.0,
Adem Bona,CHI,4,0.0,0.0,0.0,
Adem Bona,CHO,4,0.0,0.0,0.0,
Adem Bona,CLE,3,0.0,0.0,0.0,
Adem Bona,DAL,2,0.0,0.0,0.0,
Adem Bona,DEN,2,0.0,0.0,0.0,
Adem Bona,DET,3,0.0,0.0,0.0,
Adem Bona,GSW,2,0.0,0.0,0.0,
Adem Bona,HOU,2,0.0,0.0,0.0,
Adem Bona,IND,4,0.0,0.0,0.0,
Adem Bona,LAC,2,0.0,0.0,0.0,
Adem Bona,LAL,2,0.0,0.0,0.0,
Adem Bona,MEM,2,0.0,0.0,0.0,
Adem Bona,MIA,4,0.0,0.0,0.0,
Adem Bona,MIL,4,0.0,0.0,0.0,
Adem Bona,MIN,2,0.0,0.0,0.0,
Adem Bona,NOP,2,0.0,0.0,0.0,
Adem Bona,NYK,4,0.0,0.0,0.0,
Adem Bona,OKC,2,0.0,0.0,0.0,
Adem Bona,ORL,4,0.0,0.0,0.0,
Adem Bona,PHO,2,0.0,0.0,0.0,
Adem Bona,POR,2,0.0,0.0,0.0,
Adem Bona,SAC,2,0.0,0.0,0.0,
Adem Bona,SAS,2,0.0,0.0,0.0,
Adem Bona,TOR,4,0.0,0.0,0.0,
Adem Bona,UTA,2,0.0,0.0,0.0,
Adem Bona,WAS,3,0.0,1.0,0.0,0.0
Ajay Mitchell,POR,4,4.0,6.0,1.0,0.6666666666666666
Ajay Mitchell,WAS,2,2.0,3.0,1.0,0.6666666666666666
Ajay Mitchell,MEM,4,3.0,5.0,0.75,0.6
Ajay Mitchell,SAS,3,2.0,2.0,0.6666666666666666,1.0
Ajay Mitchell,CHO,2,1.0,2.0,0.5,0.5
Ajay Mitchell,IND,2,1.0,2.0,0.5,0.5
Ajay Mitchell,ORL,2,1.0,2.0,0.5,0.5
Ajay Mitchell,TOR,2,1.0,1.0,0.5,1.0
Ajay Mitchell,LAL,3,1.0,3.0,0.3333333333333333,0.3333333333333333
Ajay Mitchell,PHO,3,1.0,2.0,0.3333333333333333,0.5
Ajay Mitchell,SAC,3,1.0,1.0,0.3333333333333333,1.0
Ajay Mitchell,DEN,4,1.0,2.0,0.25,0.5
Ajay Mitchell,LAC,4,1.0,4.0,0.25,0.25
Ajay Mitchell,NOP,4,1.0,8.0,0.25,0.125
Ajay Mitchell,UTA,4,1.0,4.0,0.25,0.25
Ajay Mitchell,HOU,5,1.0,3.0,0.2,0.3333333333333333
Ajay Mitchell,ATL,2,0.0,0.0,0.0,
Ajay Mitchell,BOS,2,0.0,0.0,0.0,
Ajay Mitchell,BRK,2,0.0,0.0,0.0,
Ajay Mitchell,CHI,2,0.0,0.0,0.0,
Ajay Mitchell,CLE,2,0.0,0.0,0.0,
Ajay Mitchell,DAL,4,0.0,2.0,0.0,0.0
Ajay Mitchell,DET,2,0.0,0.0,0.0,
Ajay Mitchell,GSW,3,0.0,4.0,0.0,0.0
Ajay Mitchell,MIA,2,0.0,1.0,0.0,0.0
Ajay Mitchell,MIL,2,0.0,0.0,0.0,
Ajay Mitchell,MIN,4,0.0,3.0,0.0,0.0
Ajay Mitchell,NYK,2,0.0,0.0,0.0,
Ajay Mitchell,PHI,2,0.0,0.0,0.0,
Alec Burks,GSW,2,8.0,13.0,4.0,0.6153846153846154
Alec Burks,DAL,2,6.0,13.0,3.0,0.46153846153846156
Alec Burks,NOP,2,5.0,9.0,2.5,0.5555555555555556
Alec Burks,PHI,4,10.0,24.0,2.5,0.4166666666666667
Alec Burks,WAS,4,9.0,19.0,2.25,0.47368421052631576
Alec Burks,CHI,3,5.0,11.0,1.6666666666666667,0.45454545454545453
