name,year,pos,team,number,birth_date,href
Jaylen Adams,2019,PG,ATL,10,"May 4, 1996",https://www.basketball-reference.com/players/a/adamsja01.html
Justin Anderson,2019,SF,ATL,1,"November 19, 1993",https://www.basketball-reference.com/players/a/anderju01.html
Kent Bazemore,2019,SG,ATL,24,"July 1, 1989",https://www.basketball-reference.com/players/b/bazemke01.html
DeAndre' Bembry,2019,SG,ATL,95,"July 4, 1994",https://www.basketball-reference.com/players/b/bembrde01.html
Vince Carter,2019,PF,ATL,15,"January 26, 1977",https://www.basketball-reference.com/players/c/cartevi01.html
John Collins,2019,PF,ATL,20,"September 23, 1997",https://www.basketball-reference.com/players/c/collijo01.html
Deyonta Davis,2019,C,ATL,4,"December 2, 1996",https://www.basketball-reference.com/players/d/davisde01.html
Dewayne Dedmon,2019,C,ATL,14,"August 12, 1989",https://www.basketball-reference.com/players/d/dedmode01.html
Tyler Dorsey,2019,SG,ATL,2,"February 18, 1996",https://www.basketball-reference.com/players/d/dorsety01.html
Daniel Hamilton,2019,SG,ATL,5,"August 8, 1995",https://www.basketball-reference.com/players/h/hamilda02.html
Kevin Huerter,2019,SG,ATL,3,"August 27, 1998",https://www.basketball-reference.com/players/h/huertke01.html
Isaac Humphries,2019,C,ATL,8,"January 5, 1998",https://www.basketball-reference.com/players/h/humphis01.html
B.J. Johnson,2019,SF,ATL,5,"December 21, 1995",https://www.basketball-reference.com/players/j/johnsbj01.html
Alex Len,2019,C,ATL,25,"June 16, 1993",https://www.basketball-reference.com/players/l/lenal01.html
Jeremy Lin,2019,PG,ATL,7,"August 23, 1988",https://www.basketball-reference.com/players/l/linje01.html
Miles Plumlee,2019,C,ATL,18,"September 1, 1988",https://www.basketball-reference.com/players/p/plumlmi01.html
Alex Poythress,2019,PF,ATL,22,"September 6, 1993",https://www.basketball-reference.com/players/p/poythal01.html
Taurean Prince,2019,SF,ATL,12,"March 22, 1994",https://www.basketball-reference.com/players/p/princta02.html
Jordan Sibert,2019,SG,ATL,8,"August 1, 1992",https://www.basketball-reference.com/players/s/siberjo01.html
Omari Spellman,2019,PF,ATL,6,"July 21, 1997",https://www.basketball-reference.com/players/s/spellom01.html
Trae Young,2019,PG,ATL,11,"September 19, 1998",https://www.basketball-reference.com/players/y/youngtr01.html
Tyler Zeller,2019,C,ATL,45,"January 17, 1990",https://www.basketball-reference.com/players/z/zellety01.html
Aron Baynes,2019,C,BOS,46,"December 9, 1986",https://www.basketball-reference.com/players/b/baynear01.html
Jaylen Brown,2019,SG,BOS,7,"October 24, 1996",https://www.basketball-reference.com/players/b/brownja02.html
PJ Dozier,2019,SG,BOS,50,"October 25, 1996",https://www.basketball-reference.com/players/d/doziepj01.html
Gordon Hayward,2019,PF,BOS,20,"March 23, 1990",https://www.basketball-reference.com/players/h/haywago01.html
Al Horford,2019,C,BOS,42,"June 3, 1986",https://www.basketball-reference.com/players/h/horfoal01.html
R.J. Hunter,2019,SG,BOS,28,"October 24, 1993",https://www.basketball-reference.com/players/h/hunterj01.html
Kyrie Irving,2019,PG,BOS,11,"March 23, 1992",https://www.basketball-reference.com/players/i/irvinky01.html
Greg Monroe,2019,C,BOS,55,"June 4, 1990",https://www.basketball-reference.com/players/m/monrogr01.html
Marcus Morris,2019,PF,BOS,13,"September 2, 1989",https://www.basketball-reference.com/players/m/morrima03.html
Semi Ojeleye,2019,PF,BOS,37,"December 5, 1994",https://www.basketball-reference.com/players/o/ojelese01.html
Terry Rozier,2019,PG,BOS,12,"March 17, 1994",https://www.basketball-reference.com/players/r/roziete01.html
Marcus Smart,2019,SG,BOS,36,"March 6, 1994",https://www.basketball-reference.com/players/s/smartma01.html
Jayson Tatum,2019,SF,BOS,0,"March 3, 1998",https://www.basketball-reference.com/players/t/tatumja01.html
Daniel Theis,2019,C,BOS,27,"April 4, 1992",https://www.basketball-reference.com/players/t/theisda01.html
Brad Wanamaker,2019,PG,BOS,9,"July 25, 1989",https://www.basketball-reference.com/players/w/wanambr01.html
Robert Williams,2019,C,BOS,44,"October 17, 1997",https://www.basketball-reference.com/players/w/williro04.html
Guerschon Yabusele,2019,PF,BOS,30,"December 17, 1995",https://www.basketball-reference.com/players/y/yabusgu01.html
Rawle Alkins,2019,SG,CHI,20,"October 29, 1997",https://www.basketball-reference.com/players/a/alkinra01.html
Ryan Arcidiacono,2019,PG,CHI,51,"March 26, 1994",https://www.basketball-reference.com/players/a/arcidry01.html
Antonio Blakeney,2019,SG,CHI,9,"October 4, 1996",https://www.basketball-reference.com/players/b/blakean01.html
Wendell Carter Jr.,2019,C,CHI,34,"April 16, 1999",https://www.basketball-reference.com/players/c/cartewe01.html
Kris Dunn,2019,PG,CHI,32,"March 18, 1994",https://www.basketball-reference.com/players/d/dunnkr01.html
Cristiano Felício,2019,C,CHI,6,"July 7, 1992",https://www.basketball-reference.com/players/f/feliccr01.html
Shaquille Harrison,2019,SG,CHI,3,"October 6, 1993",https://www.basketball-reference.com/players/h/harrish01.html
Justin Holiday,2019,SG,CHI,7,"April 5, 1989",https://www.basketball-reference.com/players/h/holidju01.html
Chandler Hutchison,2019,SF,CHI,15,"April 26, 1996",https://www.basketball-reference.com/players/h/hutchch01.html
Zach LaVine,2019,SG,CHI,8,"March 10, 1995",https://www.basketball-reference.com/players/l/lavinza01.html
Walt Lemon Jr.,2019,PG,CHI,25,"July 26, 1992",https://www.basketball-reference.com/players/l/lemonwa01.html
Robin Lopez,2019,C,CHI,42,"April 1, 1988",https://www.basketball-reference.com/players/l/lopezro01.html
Timothé Luwawu-Cabarrot,2019,SF,CHI,7,"May 9, 1995",https://www.basketball-reference.com/players/l/luwawti01.html
Lauri Markkanen,2019,PF,CHI,24,"May 22, 1997",https://www.basketball-reference.com/players/m/markkla01.html
Jabari Parker,2019,PF,CHI,2,"March 15, 1995",https://www.basketball-reference.com/players/p/parkeja01.html
Cameron Payne,2019,PG,CHI,22,"August 8, 1994",https://www.basketball-reference.com/players/p/payneca01.html
Otto Porter Jr.,2019,SF,CHI,22,"June 3, 1993",https://www.basketball-reference.com/players/p/porteot01.html
Bobby Portis,2019,PF,CHI,5,"February 10, 1995",https://www.basketball-reference.com/players/p/portibo01.html
Brandon Sampson,2019,SG,CHI,44,"May 1, 1997",https://www.basketball-reference.com/players/s/sampsbr01.html
JaKarr Sampson,2019,SF,CHI,41,"March 20, 1993",https://www.basketball-reference.com/players/s/sampsja02.html
Wayne Selden,2019,SG,CHI,14,"September 30, 1994",https://www.basketball-reference.com/players/s/seldewa01.html
Tyler Ulis,2019,PG,CHI,0,"January 5, 1996",https://www.basketball-reference.com/players/u/ulisty01.html
Deng Adel,2019,SF,CLE,32,"February 1, 1997",https://www.basketball-reference.com/players/a/adelde01.html
Jaron Blossomgame,2019,SF,CLE,4,"September 16, 1993",https://www.basketball-reference.com/players/b/blossja01.html
Alec Burks,2019,SG,CLE,10,"July 20, 1991",https://www.basketball-reference.com/players/b/burksal01.html
Marquese Chriss,2019,PF,CLE,3,"July 2, 1997",https://www.basketball-reference.com/players/c/chrisma01.html
Jordan Clarkson,2019,SG,CLE,8,"June 7, 1992",https://www.basketball-reference.com/players/c/clarkjo01.html
Sam Dekker,2019,PF,CLE,15,"May 6, 1994",https://www.basketball-reference.com/players/d/dekkesa01.html
Matthew Dellavedova,2019,PG,CLE,18,"September 8, 1990",https://www.basketball-reference.com/players/d/dellama01.html
Channing Frye,2019,C,CLE,9,"May 17, 1983",https://www.basketball-reference.com/players/f/fryech01.html
Andrew Harrison,2019,PG,CLE,55,"October 28, 1994",https://www.basketball-reference.com/players/h/harrian01.html
George Hill,2019,PG,CLE,3,"May 4, 1986",https://www.basketball-reference.com/players/h/hillge01.html
John Holland,2019,SF,CLE,10,"November 6, 1988",https://www.basketball-reference.com/players/h/hollajo02.html
Rodney Hood,2019,SG,CLE,1,"October 20, 1992",https://www.basketball-reference.com/players/h/hoodro01.html
Jalen Jones,2019,SF,CLE,21,"May 27, 1993",https://www.basketball-reference.com/players/j/jonesja04.html
Brandon Knight,2019,PG,CLE,20,"December 2, 1991",https://www.basketball-reference.com/players/k/knighbr03.html
Kyle Korver,2019,PF,CLE,26,"March 17, 1981",https://www.basketball-reference.com/players/k/korveky01.html
Kevin Love,2019,PF,CLE,0,"September 7, 1988",https://www.basketball-reference.com/players/l/loveke01.html
Patrick McCaw,2019,SG,CLE,3,"October 25, 1995",https://www.basketball-reference.com/players/m/mccawpa01.html
Larry Nance Jr.,2019,C,CLE,22,"January 1, 1993",https://www.basketball-reference.com/players/n/nancela02.html
David Nwaba,2019,SF,CLE,12,"January 14, 1993",https://www.basketball-reference.com/players/n/nwabada01.html
Cedi Osman,2019,SF,CLE,16,"April 8, 1995",https://www.basketball-reference.com/players/o/osmande01.html
Collin Sexton,2019,PG,CLE,2,"January 4, 1999",https://www.basketball-reference.com/players/s/sextoco01.html
Kobi Simmons,2019,PG,CLE,3,"July 4, 1997",https://www.basketball-reference.com/players/s/simmoko01.html
J.R. Smith,2019,SG,CLE,5,"September 9, 1985",https://www.basketball-reference.com/players/s/smithjr01.html
Nik Stauskas,2019,SG,CLE,1,"October 7, 1993",https://www.basketball-reference.com/players/s/stausni01.html
Tristan Thompson,2019,C,CLE,13,"March 13, 1991",https://www.basketball-reference.com/players/t/thomptr01.html
Ante Žižić,2019,C,CLE,41,"January 4, 1997",https://www.basketball-reference.com/players/z/zizican01.html
Kostas Antetokounmpo,2019,PF,DAL,37,"November 20, 1997",https://www.basketball-reference.com/players/a/antetko01.html
J.J. Barea,2019,PG,DAL,5,"June 26, 1984",https://www.basketball-reference.com/players/b/bareajo01.html
Harrison Barnes,2019,PF,DAL,40,"May 30, 1992",https://www.basketball-reference.com/players/b/barneha02.html
Ryan Broekhoff,2019,SG,DAL,45,"August 23, 1990",https://www.basketball-reference.com/players/b/broekry01.html
Jalen Brunson,2019,PG,DAL,13,"August 31, 1996",https://www.basketball-reference.com/players/b/brunsja01.html
Trey Burke,2019,PG,DAL,23,"November 12, 1992",https://www.basketball-reference.com/players/b/burketr01.html
Luka Dončić,2019,SG,DAL,77,"February 28, 1999",https://www.basketball-reference.com/players/d/doncilu01.html
Dorian Finney-Smith,2019,SF,DAL,10,"May 4, 1993",https://www.basketball-reference.com/players/f/finnedo01.html
