FG3 HISTORY DEBUG REPORT
================================================================================

Loading dataset:
data\all_gamelogs_combined.csv


================================================================================
JARRETT ALLEN
================================================================================
      date        player team opp  fg3a  fg3  fga  mp_minutes  pts    usage
2021-10-20 JARRETT ALLEN  CLE MEM   0.0  0.0 11.0    0.000000 25.0 0.000000
2021-10-22 JARRETT ALLEN  CLE CHO   0.0  0.0  6.0    0.000000 11.0 0.000000
2021-10-23 JARRETT ALLEN  CLE ATL   0.0  0.0  9.0    0.000000 11.0 0.000000
2021-10-25 JARRETT ALLEN  CLE DEN   0.0  0.0 11.0    0.000000 21.0 0.000000
2021-10-27 JARRETT ALLEN  CLE LAC   1.0  0.0  7.0    0.000000  4.0 0.000000
2021-10-29 JARRETT ALLEN  CLE LAL   0.0  0.0  3.0    0.000000  6.0 0.000000
2021-10-30 JARRETT ALLEN  CLE PHO   0.0  0.0  3.0    0.000000  4.0 0.000000
2021-11-01 JARRETT ALLEN  CLE CHO   0.0  0.0 13.0    0.000000 24.0 0.000000
2021-11-03 JARRETT ALLEN  CLE POR   1.0  0.0 15.0    0.000000 24.0 0.000000
2021-11-05 JARRETT ALLEN  CLE TOR   1.0  1.0  6.0    0.000000 16.0 0.000000
2021-11-07 JARRETT ALLEN  CLE NYK   0.0  0.0 15.0    0.000000 18.0 0.000000
2021-11-10 JARRETT ALLEN  CLE WAS   0.0  0.0 10.0    0.000000 13.0 0.000000
2021-11-12 JARRETT ALLEN  CLE DET   0.0  0.0  7.0    0.000000 11.0 0.000000
2021-11-13 JARRETT ALLEN  CLE BOS   0.0  0.0  5.0    0.000000 11.0 0.000000
2021-11-15 JARRETT ALLEN  CLE BOS   NaN  NaN  NaN    0.000000  NaN 0.000000
2021-11-17 JARRETT ALLEN  CLE BRK   NaN  NaN  NaN    0.000000  NaN 0.000000
2021-11-18 JARRETT ALLEN  CLE GSW   NaN  NaN  NaN    0.000000  NaN 0.000000
2021-11-22 JARRETT ALLEN  CLE BRK   1.0  0.0 15.0    0.000000 20.0 0.000000
2021-11-24 JARRETT ALLEN  CLE PHO   0.0  0.0 10.0    0.000000 25.0 0.000000
2021-11-27 JARRETT ALLEN  CLE ORL   0.0  0.0  9.0    0.000000 19.0 0.000000
2021-11-29 JARRETT ALLEN  CLE DAL   0.0  0.0 17.0    0.000000 28.0 0.000000
2021-12-01 JARRETT ALLEN  CLE MIA   0.0  0.0  8.0    0.000000 19.0 0.000000
2021-12-03 JARRETT ALLEN  CLE WAS   0.0  0.0 17.0    0.000000 28.0 0.000000
2021-12-05 JARRETT ALLEN  CLE UTA   0.0  0.0 12.0    0.000000 17.0 0.000000
2021-12-06 JARRETT ALLEN  CLE MIL   0.0  0.0 12.0    0.000000 25.0 0.000000
2021-12-08 JARRETT ALLEN  CLE CHI   1.0  0.0  9.0    0.000000 13.0 0.000000
2021-12-10 JARRETT ALLEN  CLE MIN   0.0  0.0 11.0    0.000000 21.0 0.000000
2021-12-11 JARRETT ALLEN  CLE SAC   1.0  0.0  8.0    0.000000 19.0 0.000000
2021-12-13 JARRETT ALLEN  CLE MIA   0.0  0.0  6.0    0.000000 17.0 0.000000
2021-12-15 JARRETT ALLEN  CLE HOU   0.0  0.0  8.0    0.000000  6.0 0.000000
2021-12-18 JARRETT ALLEN  CLE MIL   0.0  0.0  9.0    0.000000 14.0 0.000000
2021-12-22 JARRETT ALLEN  CLE BOS   NaN  NaN  NaN    0.000000  NaN 0.000000
2021-12-26 JARRETT ALLEN  CLE TOR   NaN  NaN  NaN    0.000000  NaN 0.000000
2021-12-28 JARRETT ALLEN  CLE NOP   NaN  NaN  NaN    0.000000  NaN 0.000000
2021-12-30 JARRETT ALLEN  CLE WAS   NaN  NaN  NaN    0.000000  NaN 0.000000
2021-12-31 JARRETT ALLEN  CLE ATL   0.0  0.0 11.0    0.000000 21.0 0.000000
2022-01-02 JARRETT ALLEN  CLE IND   1.0  0.0 12.0    0.000000 18.0 0.000000
