file,season,n_rows,mp_dtype,mp_sample_1,mp_sample_2,mp_sample_3
data\gamelogs\gamelogs_parquet\season=2021\part_20260209_200715_160939ed.parquet,2021,5948,float64,,,
data\gamelogs\gamelogs_parquet\season=2022\part_20260209_200716_da0027b9.parquet,2022,7092,float64,,,
data\gamelogs\gamelogs_parquet\season=2023\part_20260209_200716_21460f8a.parquet,2023,5738,float64,,,
data\gamelogs\gamelogs_parquet\season=2024\part_20260209_200716_798c0b24.parquet,2024,6047,float64,,,
data\gamelogs\gamelogs_parquet\season=2025\part_20260209_200716_43c29b64.parquet,2025,36280,float64,,,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160001_674faceb.parquet,2026,50,object,09:17,16:52,29:13
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160006_64751c01.parquet,2026,54,object,36:30,25:14,16:04
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160012_60696254.parquet,2026,57,object,34:12,28:21,38:19
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160018_d00f74a3.parquet,2026,57,object,19:57,11:39,21:58
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160023_a938fd5d.parquet,2026,54,object,24:13,19:44,20:54
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160029_f37444cd.parquet,2026,57,object,28:05,30:31,29:32
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160034_670f95e4.parquet,2026,56,object,35:35,28:43,33:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160039_08aa2db8.parquet,2026,56,object,28:13,30:25,26:10
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160045_93314d68.parquet,2026,57,object,,25:18,11:34
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160050_8530fb05.parquet,2026,54,object,,,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160055_54c72123.parquet,2026,54,object,26:45,37:36,33:18
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160101_7d426bf0.parquet,2026,54,object,01:42,,04:10
