prob_band,n_obs,mean_pred_prob,empirical_hit_rate,threshold_k,mean_error_pred_minus_actual
"(-0.001, 0.1]",77,0.07869820876021998,0.15584415584415584,2,-0.07714594708393586
"(0.1, 0.2]",557,0.1658519632608254,0.21364452423698385,2,-0.047792560976158444
"(0.2, 0.3]",1946,0.25726277538465414,0.2692702980472765,2,-0.012007522662622339
"(0.3, 0.4]",2941,0.35222960414119814,0.3236994219653179,2,0.028530182175880214
"(0.4, 0.5]",4077,0.4522385223420807,0.42433161638459654,2,0.02790690595748413
"(0.5, 0.6]",4406,0.5487988185838489,0.5190649114843395,2,0.029733907099509405
"(0.6, 0.7]",3549,0.6502384318685059,0.6480698788391096,2,0.002168553029396336
"(0.7, 0.8]",3075,0.7493769964613882,0.7382113821138211,2,0.011165614347567132
"(0.8, 0.9]",3212,0.85344733274739,0.8499377334993773,2,0.0035095992480127514
"(0.9, 1.0]",5620,0.9558068462798557,0.9585409252669039,2,-0.0027340789870482496
"(-0.001, 0.1]",2254,0.06811707767597004,0.0940550133096717,3,-0.025937935633701656
"(0.1, 0.2]",4613,0.150941717265393,0.14654238022978539,3,0.004399337035607603
"(0.2, 0.3]",5091,0.24965847461247817,0.23767432724415635,3,0.011984147368321818
"(0.3, 0.4]",3714,0.3460218303299873,0.33629509962304793,3,0.009726730706939357
"(0.4, 0.5]",2816,0.44762341426987573,0.4513494318181818,3,-0.003726017548306093
"(0.5, 0.6]",2163,0.5487826412166787,0.5381414701803051,3,0.010641171036373631
"(0.6, 0.7]",1843,0.6503675254624385,0.6581660336408031,3,-0.007798508178364583
"(0.7, 0.8]",1998,0.7494078699044567,0.7512512512512513,3,-0.0018433813467945148
"(0.8, 0.9]",2544,0.8541724300950397,0.8612421383647799,3,-0.0070697082697401825
"(0.9, 1.0]",2424,0.9438923552568457,0.9381188118811881,3,0.005773543375657608
"(-0.001, 0.1]",8923,0.051744340392664526,0.05928499383615376,4,-0.007540653443489233
"(0.1, 0.2]",6222,0.1433520750670128,0.14352298296367727,4,-0.00017090789666446282
"(0.2, 0.3]",3341,0.24620581273826975,0.2466327446872194,4,-0.00042693194894966036
"(0.3, 0.4]",2171,0.3475774945264209,0.35145094426531553,4,-0.003873449738894641
"(0.4, 0.5]",1608,0.44862431702993766,0.4639303482587065,4,-0.015306031228768835
"(0.5, 0.6]",1612,0.5493788750206651,0.5384615384615384,4,0.010917336559126634
"(0.6, 0.7]",1416,0.6511326628637858,0.6772598870056498,4,-0.02612722414186397
"(0.7, 0.8]",1768,0.7495579430023841,0.7573529411764706,4,-0.007794998174086465
"(0.8, 0.9]",1573,0.8482129885494664,0.82453909726637,4,0.023673891283096382
"(0.9, 1.0]",826,0.9401011872254453,0.9346246973365617,4,0.005476489888883607
