threshold_k,n_obs,mean_pred_prob,empirical_hit_rate,calibration_multiplier
2,29460,0.6321012135185071,0.6215546503733876,0.9833150721442007
3,29460,0.44163084858319734,0.43995247793618464,0.9961996073136713
4,29460,0.30196155041287964,0.30515953835709436,1.0105907124262743
5,29460,0.20629323853394047,0.21065852002715546,1.021160565049236
6,29460,0.14158167710790842,0.14443312966734556,1.0201399829249365
7,29460,0.09743823545364443,0.09874405974202308,1.0134015592780299
8,29460,0.06701078006057373,0.06476578411405295,0.9664979881671063
9,29460,0.04593003330592789,0.04185336048879837,0.9112416751371402
10,29460,0.031333059649787616,0.027528852681602173,0.8785880788309408
11,29460,0.021268360257708358,0.016904276985743382,0.8
12,29460,0.014369131953225108,0.010386965376782077,0.8
