threshold_k,n_obs,mean_pred_prob,empirical_hit_rate,mean_error_pred_minus_actual,brier_score,ece_10bin
2,29460,0.6321012135185071,0.6215546503733876,0.01054656314511948,0.17840701297644943,0.015386539886318246
3,29460,0.44163084858319734,0.43995247793618464,0.0016783706470127058,0.16860089963519767,0.008806519776424358
4,29460,0.30196155041287964,0.30515953835709436,-0.0031979879442147197,0.13803181582912846,0.007227951160089857
5,29460,0.20629323853394047,0.21065852002715546,-0.004365281493214995,0.10933551397713243,0.01114315645332442
6,29460,0.14158167710790842,0.14443312966734556,-0.00285145255943714,0.08352229478079284,0.009239898827926873
7,29460,0.09743823545364443,0.09874405974202308,-0.0013058242883786514,0.062410036840108436,0.006984089704761981
8,29460,0.06701078006057373,0.06476578411405295,0.002244995946520778,0.045512155905095976,0.007237410902895763
9,29460,0.04593003330592789,0.04185336048879837,0.00407667281712952,0.03184575945506804,0.007862559560848295
10,29460,0.031333059649787616,0.027528852681602173,0.0038042069681854425,0.022457683213628322,0.004169328397965298
11,29460,0.021268360257708358,0.016904276985743382,0.004364083271964976,0.014616912770243792,0.004364083271964974
12,29460,0.014369131953225108,0.010386965376782077,0.003982166576443031,0.009527547788853308,0.003982166576443032
