opp,n,actual_mean,pred_mean,mae,bias
NOP,704,4.9772727272727275,4.954466720112458,2.075794149146299,0.02280600716026928
BRK,697,4.403156384505022,4.856148057772542,2.0825114239668183,-0.4529916732675208
HOU,691,4.082489146164979,4.661459914703141,1.9714143628115302,-0.5789707685381622
CLE,677,4.48301329394387,4.780996034839086,2.1357359102277567,-0.2979827408952168
CHA,677,4.333825701624815,4.863152688508395,2.072238683736228,-0.5293269868835796
DEN,676,4.331360946745562,4.79242975151949,2.1238457703196647,-0.4610688047739279
NYK,664,4.301204819277109,4.7898057508609755,2.1488044959423234,-0.4886009315838668
GSW,663,4.564102564102564,4.862363036151795,2.1561940099433063,-0.2982604720492304
PHI,660,4.633333333333334,4.798459840798689,2.1040642295212546,-0.16512650746535534
OKC,656,4.565548780487805,4.813793905838431,2.010094987135325,-0.24824512535062596
MIA,653,4.6186830015313936,4.742117354216883,2.1075504473890248,-0.1234343526854892
LAC,652,4.424846625766871,4.84536301855581,2.090810581608765,-0.42051639278893904
MIL,649,4.63944530046225,4.827873270284337,2.124623441502307,-0.1884279698220883
LAL,649,4.237288135593221,4.7813303149418935,1.9852397415881429,-0.5440421793486735
PHO,648,4.555555555555555,4.855573997882702,2.150580519553531,-0.30001844232714703
POR,646,4.608359133126935,4.81315298186603,1.9496439116862827,-0.20479384873909479
MIN,643,4.410575427682737,4.853767997863904,2.1424789572868748,-0.4431925701811668
UTA,643,4.716951788491446,4.888636039517328,2.088368669572406,-0.17168425102588153
WAS,642,4.889408099688474,4.927462939926377,2.1216697711635413,-0.0380548402379032
ORL,640,4.409375,4.871168492359663,2.0345265705649704,-0.4617934923596628
SAC,638,4.424764890282131,4.808358037762491,2.014539912717121,-0.3835931474803599
SAS,637,4.529042386185243,4.792774732878774,2.129646844499782,-0.26373234669353096
ATL,637,4.635792778649922,4.8690194853117905,2.102869760333624,-0.23322670666186895
BOS,636,4.322327044025157,4.808850436762407,2.064297810981236,-0.48652339273725037
DAL,635,4.814173228346457,4.888991249287269,1.9886682647247313,-0.07481802094081218
DET,628,4.251592356687898,4.700297662912448,2.03452777860698,-0.44870530622455046
MEM,627,4.701754385964913,4.832467333902877,2.0738942362500117,-0.1307129479379652
CHI,620,4.619354838709677,4.914729351325066,2.107968073111026,-0.29537451261538894
IND,613,4.738988580750408,4.723408259490907,2.0772875103487287,0.01558032125950071
TOR,603,4.582089552238806,4.7711282074099985,2.1000396984193888,-0.18903865517119306
