player,n,actual_mean,pred_mean,mae,bias
Bub Carrington,124,3.782258064516129,4.327218348551471,1.6520182411579707,-0.5449602840353416
Julian Champagnie,122,4.778688524590164,4.889204993109187,1.9471028258940963,-0.11051646851902343
Mikal Bridges,122,3.6475409836065573,4.277458532742307,1.8338852709495386,-0.6299175491357503
DeMar DeRozan,116,3.3620689655172415,4.1362348739729935,1.7791209833797759,-0.7741659084557525
Matas Buzelis,112,4.9375,4.7027592352455745,1.9520981981520649,0.23474076475442554
Harrison Barnes,112,3.2410714285714284,3.6957937099132523,1.65906523552489,-0.4547222813418234
Kyle Filipowski,111,6.963963963963964,6.326759082217246,3.576233904565126,0.6372048817467183
Jaden McDaniels,111,5.216216216216216,5.372451146822301,2.068080829530257,-0.15623493060608445
Keldon Johnson,111,5.036036036036036,5.3641890223122,1.9706338273986657,-0.328152986276163
Nickeil Alexander-Walker,110,3.5272727272727273,3.7669119106980955,1.7143709282408333,-0.2396391834253683
Tim Hardaway Jr.,106,2.6132075471698113,3.0115186459079233,1.4050673804341172,-0.39831109873811166
Julius Randle,105,6.876190476190477,6.495436573203329,2.1677561395113436,0.38075390298714684
Jamal Shead,105,1.8761904761904762,2.5203080219691194,1.329914048058166,-0.6441175457786437
Kris Dunn,104,3.25,3.8144759722470614,1.8319112392140118,-0.5644759722470611
Royce O'Neale,103,4.58252427184466,5.024705249969911,1.7561157182710734,-0.44218097812525176
Kel'el Ware,102,9.431372549019608,7.953486915686584,3.390579022965296,1.4778856333330237
Toumani Camara,102,5.3431372549019605,5.683813173690886,2.2181995326362336,-0.3406759187889263
Ron Holland,102,3.2549019607843137,3.781415877677826,1.7611540095431948,-0.5265139168935123
Naz Reid,101,6.5049504950495045,5.786455440341421,2.2603153845462,0.7184950547080844
Jaylen Wells,99,3.4646464646464645,3.842925925817952,1.6160304360092743,-0.3782794611714875
Jonas Valančiūnas,98,6.030612244897959,6.262195133263368,2.694432763517655,-0.2315828883654085
Stephon Castle,98,4.6938775510204085,4.47962764533902,2.2453017650884215,0.21424990568138774
Brook Lopez,98,3.989795918367347,4.283376010718868,2.0763531398374435,-0.2935800923515217
Anthony Black,98,3.673469387755102,3.832010735689727,1.7558436735431617,-0.15854134793462496
Isaiah Collier,98,3.1020408163265305,3.323501789558799,1.5541333049486803,-0.22146097323226854
Payton Pritchard,97,3.783505154639175,4.490338860390319,1.8355456287316025,-0.7068337057511443
Duncan Robinson,96,2.4895833333333335,3.3037992104301774,1.4538280732099393,-0.8142158770968438
Desmond Bane,95,4.631578947368421,5.140613964818312,1.9639234200648499,-0.5090350174498907
Max Christie,95,3.389473684210526,3.8624756580730173,1.7309920379219232,-0.47300197386249093
Rudy Gobert,94,11.446808510638299,11.234604929077278,3.1978501921402525,0.21220358156101787
Precious Achiuwa,93,6.118279569892473,6.2605936673267175,2.8479362762723355,-0.14231409743424392
Naji Marshall,93,5.354838709677419,4.893215764857117,2.240217445395081,0.4616229448203021
Tristan Da Silva,93,3.5913978494623655,4.2261260584670755,1.9666591095985737,-0.6347282090047099
Donte DiVincenzo,93,4.32258064516129,4.5856326292422125,1.813441723031058,-0.26305198408092206
Wendell Carter Jr.,92,7.4021739130434785,7.806475928765167,2.857077516940035,-0.40430201572168895
Jarace Walker,92,4.456521739130435,4.531659626644585,2.119341009077353,-0.07513788751415121
Tyus Jones,92,1.7173913043478262,2.631217845171427,1.4259468434891047,-0.913826540823601
Onyeka Okongwu,91,8.967032967032967,8.943724615612963,2.9113855530367663,0.023308351420004373
Scottie Barnes,90,8.0,8.218838229778948,2.823107842037765,-0.21883822977894818
Oso Ighodaro,90,4.7444444444444445,4.573092089264941,2.201464329321406,0.17135235517950348
Ausar Thompson,90,5.644444444444445,5.55175922816949,1.920240407632435,0.09268521627495459
Ben Sheppard,89,2.831460674157303,3.7239569707660785,1.849870045922559,-0.8924962966087749
Kevin Durant,89,5.651685393258427,6.1768248899939975,1.7853352811551468,-0.52513949673557
Keon Ellis,89,2.393258426966292,2.9674767058864386,1.5358311124410284,-0.5742182789201463
Paolo Banchero,88,8.011363636363637,8.145120916212111,2.7850310620343968,-0.1337572798484744
Javonte Green,88,2.840909090909091,3.4281425711687135,1.703255216399259,-0.5872334802596226
Sam Hauser,88,3.590909090909091,3.7198702941939135,1.6061063112724705,-0.12896120328482266
Brice Sensabaugh,88,3.2386363636363638,3.32220159453312,1.39978278074717,-0.08356523089675605
Russell Westbrook,87,5.689655172413793,5.675303035299255,2.782873929416445,0.014352137114538772
Devin Vassell,87,4.137931034482759,4.179416544270975,1.5592960685486792,-0.041485509788215684
Kyle Kuzma,86,5.093023255813954,5.279721863683677,2.29904124121228,-0.18669860786972403
Shaedon Sharpe,86,4.732558139534884,4.816612274637578,1.9181698778247827,-0.08405413510269404
Collin Gillespie,86,4.011627906976744,3.980971590639993,1.6983243614884729,0.030656316336750967
A.J. Green,86,2.5697674418604652,3.299054603548687,1.5654146532771755,-0.7292871616882218
Jalen Duren,85,10.811764705882354,9.821511674055195,3.489722968296183,0.990253031827158
Quinten Post,85,3.9176470588235293,4.217910575677841,2.301092205603707,-0.3002635168543118
Ryan Rollins,85,3.9411764705882355,4.173182323148482,1.8874225388097676,-0.23200585256024692
Jarrett Allen,84,9.142857142857142,9.177648884578693,3.071471879455806,-0.03479174172154854
Jake LaRavia,84,3.761904761904762,4.485622229923413,2.0597574820809084,-0.7237174680186514
Nicolas Batum,84,2.5357142857142856,3.275730063060717,1.554645508944778,-0.7400157773464316
Sandro Mamukelashvili,82,4.524390243902439,4.652380139192854,2.2114094418102805,-0.12798989529041466
Donovan Clingan,81,11.160493827160494,9.908166799668136,3.423910763297777,1.2523270274923592
Bam Adebayo,81,9.716049382716049,10.178242465401544,3.103594476555047,-0.46219308268549586
Dyson Daniels,81,6.703703703703703,6.273172499295499,2.1325245904732792,0.43053120440820447
Bruce Brown,81,3.8271604938271606,4.355195404094779,1.8199082972806542,-0.5280349102676184
Ryan Dunn,80,4.2625,4.81812118268179,2.5027502205801535,-0.5556211826817903
Zaccharie Risacher,80,4.0,3.9332063820870595,1.8766792923031868,0.06679361791294092
Jamal Murray,80,4.2,4.667792987337156,1.8210932363159582,-0.46779298733715635
Vit Krejci,80,2.7375,2.9730803718999366,1.7937712582394902,-0.23558037189993666
Nikola Jokić,79,12.772151898734178,12.401239735969643,3.524248660945765,0.3709121627645355
Isaiah Joe,78,2.5256410256410255,3.2244991907383973,1.4967971916919607,-0.6988581650973716
Aaron Wiggins,77,3.935064935064935,4.157837716187211,2.142397112380483,-0.22277278112227566
Derrick White,77,4.636363636363637,4.670242633147069,1.931757333382693,-0.03387899678343258
Dennis Schröder,77,2.675324675324675,3.487106158728674,1.6018618273244791,-0.8117814834039987
Anfernee Simons,77,2.5324675324675323,2.894248638816911,1.27855235698446,-0.3617811063493789
Jay Huff,76,3.6710526315789473,4.037398627535628,2.133922505922071,-0.36634599595668127
Reed Sheppard,76,2.763157894736842,3.0274259057877195,1.6977841386867287,-0.2642680110508775
Corey Kispert,76,2.5657894736842106,3.19485587463446,1.4694943751901453,-0.6290664009502496
Ivica Zubac,75,11.946666666666667,11.85422644828369,3.50734796102166,0.09244021838297552
James Harden,75,5.16,5.692116087372652,2.0856136919747206,-0.532116087372652
Simone Fontecchio,75,2.96,3.3103373043550848,1.591574967549076,-0.350337304355085
Landry Shamet,75,1.68,2.569934395019281,1.3489276254522666,-0.8899343950192805
OG Anunoby,74,4.837837837837838,5.396113770979892,1.9903362315022328,-0.5582759331420537
Devin Booker,74,4.108108108108108,4.404158336366017,1.857450873764934,-0.2960502282579085
Jaylen Clark,74,1.6756756756756757,2.8637682982731403,1.7167653829092802,-1.1880926225974648
Luke Kornet,73,5.808219178082192,6.116408834655608,2.4380506854013944,-0.3081896565734156
Anthony Edwards,73,5.082191780821918,5.758949316942025,2.1442987504638342,-0.6767575361201073
Derrick Jones Jr.,73,3.506849315068493,3.8286349193911366,1.5883366368760685,-0.32178560432264336
De'Aaron Fox,72,3.888888888888889,4.36264302542771,1.7525901199958602,-0.473754136538821
Josh Hart,71,9.154929577464788,8.402893359561924,3.0253904703479275,0.7520362179028652
Jaren Jackson Jr.,71,5.690140845070423,5.955933838705816,2.418978939307892,-0.2657929936353935
Cade Cunningham,71,5.746478873239437,6.359596946518871,2.1022206227940217,-0.6131180732794345
Cason Wallace,71,3.183098591549296,3.7452397189184006,1.6797761884292872,-0.5621411273691049
Pascal Siakam,70,6.785714285714286,7.082614574746101,2.183548948774259,-0.29690028903181465
Gradey Dick,70,2.5,3.116293896122316,1.838522246138672,-0.6162938961223159
Justin Champagnie,69,6.101449275362318,6.168031850147758,3.111516985044964,-0.0665825747854387
Jaylin Williams,69,6.159420289855072,5.492265038174835,2.8869752650681244,0.6671552516802378
Thomas Bryant,69,4.043478260869565,4.553476594477411,2.1874344100566017,-0.5099983336078461
Christian Braun,69,5.217391304347826,4.753413750844885,2.0597305906867827,0.4639775535029417
Tyrese Maxey,69,3.9130434782608696,4.243111915301012,1.7691701913654536,-0.33006843704014155
Ja'Kobe Walter,69,2.739130434782609,3.0903268444371914,1.6010811243167857,-0.3511964096545828
