player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Malik Monk,SAC,BOS,0,6.953944629959763,0.3476054788020393,2.4172292526600336,1.163265306122449,1.2539639465375847,0.22488592085602532,0.6952913454808538,0.4347861669005797
Russell Westbrook,SAC,BOS,0,6.837110584956235,0.34432902217467487,2.3542156022181,1.1764705882352942,1.1777450139828056,0.21176380297381425,0.6814569533440914,0.4182849864686655
Sam Hauser,BOS,SAC,1,6.696263496018095,0.34111366768765333,2.28418700092968,1.1481481481481481,1.136038852781532,0.19744583572896945,0.6654830967898622,0.39976354845903206
Anfernee Simons,BOS,SAC,1,6.456263496018095,0.3462879376290996,2.2357261708261467,1.1730769230769231,1.0626492477492235,0.18771762860520957,0.6540540724367585,0.3868496225000846
Derrick White,BOS,SAC,1,6.36443776678221,0.34111366768765333,2.1709967093968974,1.150943396226415,1.0200533131704823,0.17497487389818334,0.6383038381718189,0.3694993946696641
Payton Pritchard,BOS,SAC,1,6.255411673663065,0.34243120886059303,2.142048181333109,1.142857142857143,0.9991910384759659,0.16937518469213508,0.631079205491667,0.36170948868759445
Jaylen Brown,BOS,SAC,1,6.125901639299677,0.3431244860144671,2.101946851359883,1.1454545454545455,0.9564923059053374,0.1617252817976469,0.6208854665290806,0.3508943054437501
Zach LaVine,SAC,BOS,0,6.107452635642788,0.342829772233693,2.093816596005485,1.180327868852459,0.9134887271530259,0.1601899689514601,0.6187923819158254,0.34869878648249397
Keon Ellis,SAC,BOS,0,4.0130680149529985,0.34243120886059303,1.3741997316001358,1.1206896551724137,0.25351007642772205,0.05085853978176702,0.3992277127503281,0.16030229026547738
DeMar DeRozan,SAC,BOS,0,2.6349526356427875,0.3431244860144671,0.9041167687773969,1.1333333333333333,-0.22921656455593642,0.013663059382080678,0.2290243637782723,0.06353650789354659
Precious Achiuwa,SAC,BOS,0,2.1950718487951093,0.34243120886059303,0.7516611067187662,1.11864406779661,-0.3669829610778439,0.007347474856358893,0.17394718361704797,0.04072642831295392
Domantas Sabonis,SAC,BOS,0,1.8000045237305415,0.3452390839127303,0.6214319128115026,1.1228070175438598,-0.5013751047323572,0.00379990096115701,0.12900779981109145,0.025285375755301986
Neemias Queta,BOS,SAC,1,1.0814446299597626,0.34782463595599644,0.37615308472232173,1.2,-0.8238469152776782,0.0006185793303705722,0.05527471548449636,0.006708076369592808
