player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Anthony Black,ORL,TOR,1,6.133763496018094,0.34111366768765333,2.092310562855375,1.150943396226415,0.94136716662896,0.1599061609991811,0.6184036850925662,0.3482920029195755
Desmond Bane,ORL,TOR,1,5.2769377667822095,0.34111366768765333,1.8000355957865741,1.1730769230769231,0.626958672709651,0.10871411397058017,0.5371737039948831,0.269388446068629
RJ Barrett,TOR,ORL,0,5.210901639299678,0.3431244860144671,1.787987946656646,1.1481481481481481,0.6398397985084978,0.1067861618186835,0.5335795400364295,0.26616446946439487
Jalen Suggs,ORL,TOR,1,5.137911673663066,0.34243120886059303,1.7593813054313963,1.1454545454545455,0.6139267599768508,0.1022713844881058,0.5249688107526569,0.2585282384567349
Ja'Kobe Walter,TOR,ORL,0,5.049952635642787,0.3431244860144671,1.7327624025023347,1.11864406779661,0.6141183347057246,0.09815126451809941,0.5168603012833187,0.2514493206620412
Brandon Ingram,TOR,ORL,0,4.707571848795109,0.34243120886059303,1.6120195189810058,1.1206896551724137,0.4913298638085921,0.08047880888682613,0.47894299820839414,0.2197522981159501
Sandro Mamukelashvili,TOR,ORL,0,4.689952635642787,0.342829772233693,1.6078553938642248,1.1333333333333333,0.4745220605308915,0.07989989702152811,0.4776028718626515,0.2186735386825993
Wendell Carter Jr.,ORL,TOR,1,4.689952635642787,0.342829772233693,1.6078553938642248,1.180327868852459,0.42752752501176583,0.07989989702152811,0.4776028718626515,0.2186735386825993
Jamal Shead,TOR,ORL,0,3.9225045237305416,0.3452390839127303,1.3542018684162727,1.142857142857143,0.21134472555912964,0.04869581577033533,0.392255130592982,0.15554632020362313
Franz Wagner,ORL,TOR,1,3.777110584956234,0.34432902217467487,1.3005687943635944,1.2,0.10056879436359445,0.04315223496182363,0.3733783817023233,0.1430185182535859
Tristan Da Silva,ORL,TOR,1,3.6680680149529983,0.34243120886059303,1.256060964543231,1.1228070175438598,0.1332539469993712,0.03883671808855871,0.3575335027832789,0.13289143067734743
Scottie Barnes,TOR,ORL,0,2.8937634960180945,0.344352128126905,0.9964736181497835,1.1764705882352942,-0.17999697008551063,0.018772704981817823,0.26294383696614587,0.07965390040149256
