player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Max Christie,DAL,HOU,0,8.110493406084112,0.3280574937905787,2.660708140204968,1.2380952380952381,1.42261290210973,0.27726504182795075,0.7441212374777726,0.4967019124993344
Klay Thompson,DAL,HOU,0,7.9422386296335645,0.32862369325542706,2.6100077911861037,1.2394239423942395,1.3705838487918642,0.2661774324267945,0.7345417923364042,0.4840799156280733
Reed Sheppard,HOU,DAL,1,6.136994945026256,0.3273614844438028,2.009015775227909,1.2327044025157232,0.776311372712186,0.14450706533485314,0.5964289550051036,0.3257638723124734
Jabari Smith Jr.,HOU,DAL,1,5.099114667246414,0.36942876510846684,1.8837596346673136,0.0,1.8837596346673136,0.5616180703871996,0.5616180703871996,0.2918971935202611
Tari Eason,HOU,DAL,1,4.99872006154845,0.3274837208086315,1.6369994450366379,1.2826735218508998,0.3543259231857381,0.0839951128103682,0.48693757144107663,0.2262458482220815
Cooper Flagg,DAL,HOU,0,4.682729943655273,0.3324312522328619,1.5566857790376414,1.222079589216945,0.33460618982069645,0.07295744250385094,0.4609645697067801,0.20551105852466278
P.J. Washington,DAL,HOU,0,3.8211556935810425,0.3238263520364831,1.2373909088157864,1.222523360705473,0.014867548110313322,0.037103467114049105,0.35084287910882617,0.12872076287306655
Naji Marshall,DAL,HOU,0,3.6051229932272655,0.31705729261922444,1.1430305357919515,1.2578995044492993,-0.11486896865734786,0.029037817017648515,0.31669200064229064,0.10839941302587597
Caleb Martin,DAL,HOU,0,2.717884851079459,0.32754079875115727,0.8902181750362361,1.2626582278481013,-0.3724400528118652,0.012981016846208338,0.22394036777440895,0.06125590528183755
Brandon Williams,DAL,HOU,0,2.3296240050211203,0.32641074158845623,0.7604142991012134,1.2237224761113419,-0.4633081770101285,0.007643485631068314,0.1770543509614172,0.04190099934467628
Alperen Şengün,HOU,DAL,1,2.228593914410723,0.3197525871641728,0.7125986698711598,1.2575230606381371,-0.5449243907669773,0.006118556851718471,0.1601960127895059,0.035692286716306754
Dwight Powell,DAL,HOU,0,1.1881558568918904,0.3329235054093956,0.3955650128491523,1.2652238408580883,-0.8696588280089359,0.000744995484655786,0.060366762234548066,0.00769060979074776
Moussa Cisse(TW),DAL,HOU,0,1.1816918060907662,0.3300877796234368,0.3900620244717098,1.240740740740741,-0.8506787162690311,0.0007074616130328115,0.05890732293896317,0.007403963201761954
Steven Adams,HOU,DAL,1,1.176155997134897,0.32052299851323374,0.3769850469209995,1.2361111111111112,-0.8591260641901117,0.0006236602782754286,0.05548969957087502,0.006748554558144604
Daniel Gafford,DAL,HOU,0,1.1259555542489486,0.32247411330474307,0.3630915189769802,1.238834487700024,-0.8757429687230437,0.0005426023358292564,0.0519388013434241,0.006091521793420318
Amen Thompson,HOU,DAL,1,0.8023709021530289,0.3659908570052426,0.29366041411505667,0.0,0.29366041411505667,0.03553784331819332,0.03553784331819332,0.0033919335957874885
