player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Max Christie,DAL,BOS,1,8.117124610404549,0.33874371071725173,2.7496249108827633,1.2652238408580883,1.484401070024675,0.2968768934686944,0.7602045713307384,0.5184526213982829
Klay Thompson,DAL,BOS,1,7.954465561479582,0.32814597512320615,2.6102258582556788,1.2327044025157232,1.3775214557399555,0.2662249505567542,0.7345836418774645,0.48413453172363674
Sam Hauser,BOS,DAL,0,6.8355924188490285,0.3259281709364878,2.227912134342786,1.238834487700024,0.9890776466427622,0.18616368981579812,0.6521822363875344,0.38476082535592715
Derrick White,BOS,DAL,0,6.564355748045116,0.32980148203928544,2.164934254338381,1.2626582278481013,0.9022760264902798,0.173796946295385,0.6368001232787358,0.36786939491886783
Payton Pritchard,BOS,DAL,0,6.535270778112724,0.3291418995362787,2.151031437891956,1.2380952380952381,0.912936199796718,0.17110606995482702,0.6333331460351792,0.3641285711920965
Anfernee Simons,BOS,DAL,0,6.59083298846651,0.3208591202400171,2.1147288743282475,1.2575230606381371,0.8572058136901104,0.16414981424911956,0.6241581232549289,0.3543442267756798
Jaylen Brown,BOS,DAL,0,6.332483733519151,0.3335054165259219,2.1119176251909297,1.240740740740741,0.8711768844501888,0.1636154453411809,0.6234402287187846,0.35358565529316377
Naji Marshall,DAL,BOS,1,3.68682549889309,0.33592885956441737,1.2385110852561698,1.2394239423942395,-0.000912857138069656,0.03720617653018787,0.35124499810284293,0.12896966467381066
P.J. Washington,DAL,BOS,1,2.7717388558662006,0.36845562069832843,1.0212627605518556,0.0,1.0212627605518556,0.27206266694890924,0.27206266694890924,0.08425374710302469
Caleb Martin,DAL,BOS,1,2.773821618631337,0.3285587070869598,0.9113632447073702,1.222079589216945,-0.31071634450957475,0.014027507024970687,0.23167811807994543,0.06474096795755258
Neemias Queta,BOS,DAL,0,1.262884851079459,0.32691598871894306,0.4128572497288165,1.2826735218508998,-0.8698162721220832,0.000872082694667875,0.06503218945181766,0.008633604281944707
Daniel Gafford,DAL,BOS,1,1.226702536735681,0.3266932619192608,0.40075545313081146,1.2237224761113419,-0.8229670229805304,0.0007816662009835218,0.061754608391421995,0.007966904720193235
Moussa Cisse(TW),DAL,BOS,1,1.183816221255709,0.32544048091501365,0.38526172036045214,1.222523360705473,-0.8372616403450209,0.0006758295172089035,0.057644446983216135,0.007159176857683858
Dwight Powell,DAL,BOS,1,0.18318775288541456,0.36586580079679487,0.06702213390558756,0.0,0.06702213390558756,0.002148107255381948,0.002148107255381948,4.772101917249749e-05
