player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Grayson Allen,PHO,POR,0,8.693128081119822,0.33075379787675496,2.8752851282594483,1.2237224761113419,1.6515626521481064,0.3248514050909148,0.7814337019007119,0.548296609737973
Jalen Green,PHO,POR,0,7.41328195099944,0.3244547763737765,2.405274737607277,1.2062281355737798,1.199046602033497,0.22238030841558798,0.6927056250421741,0.43166876412872757
Shaedon Sharpe,POR,PHO,1,7.338496203460071,0.32706132197591975,2.400138269618919,1.2394239423942395,1.1607143272246794,0.22130598977200244,0.6915890620903334,0.43032737831227097
Collin Gillespie,PHO,POR,0,6.558655693581043,0.3310911729812392,2.1715130067678303,1.2652238408580883,0.9062891659097421,0.17507531629478867,0.6384316722704193,0.3696381748727058
Caleb Love(TW),POR,PHO,1,6.606510080798929,0.3267677110819279,2.1587941773423487,1.2626582278481013,0.8961359494942474,0.17260674129449127,0.6352721471068848,0.3662177577045471
Toumani Camara,POR,PHO,1,6.458146431489588,0.3262249715954608,2.1068086361720177,1.2380952380952381,0.8687133980767796,0.16264593427878005,0.622132849502854,0.3522067872830066
Royce O'Neale,PHO,POR,0,5.981096557072759,0.32334820949918974,1.9339768625712448,1.222523360705473,0.7114535018657717,0.1311637942044639,0.5758287733574649,0.30545966247277834
Jrue Holiday,POR,PHO,1,5.849958334931107,0.32699436000756926,1.9129033818017427,1.222079589216945,0.6908237925847978,0.12751224121200444,0.5699066807422958,0.2997643198102664
Dillon Brooks,PHO,POR,0,5.769494945026256,0.32755965542497084,1.8898537761689116,1.2327044025157232,0.6571493736531884,0.12356807647145451,0.5633607203610268,0.2935412140807352
Deni Avdija,POR,PHO,1,5.533368386480937,0.3281722684579816,1.8158980556051305,1.240740740740741,0.5751573148643896,0.11127622792187775,0.541876655417121,0.273639814111432
Jerami Grant,POR,PHO,1,5.482506981798004,0.3221310673263274,1.7660858256706327,1.238834487700024,0.5272513379706087,0.10332148442779432,0.5269965346075273,0.2603154052637531
Devin Booker,PHO,POR,0,5.206642977706255,0.3228823843170959,1.6811332989296597,1.2361111111111112,0.4450221878185485,0.09038764795447407,0.5008725080915888,0.23780489139011274
Donovan Clingan,POR,PHO,1,3.869521487882036,0.32761449163218626,1.267711315112294,1.2826735218508998,-0.01496220673860571,0.03994135130731402,0.36169574682308936,0.13551756482440191
Sidy Cissoko(TW),POR,PHO,1,3.439899941895371,0.3210788999744371,1.104479289365896,1.2575230606381371,-0.15304377127224122,0.026073855864611306,0.3026105143163692,0.10048743928839388
Jordan Goodwin,PHO,POR,0,2.5073967849423875,0.3663533166206707,0.9185931282476503,0.0,0.9185931282476503,0.23432766090183632,0.23432766090183632,0.06595310543687383
Robert Williams,POR,PHO,1,1.6040958855121403,0.3180664118957659,0.5102090226416077,1.2578995044492993,-0.7476904818076916,0.0018839458773943774,0.09331569617771984,0.015173554461453742
Mark Williams,PHO,POR,0,0.17661132445069247,0.37748476521624014,0.06666808434479886,0.0,0.06666808434479886,0.0021259710503381823,0.0021259710503381823,4.698116903756322e-05
