player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Jaren Jackson Jr.,MEM,SAC,0,7.109246848044236,0.3245709582193544,2.3074550616876426,1.2237224761113419,1.0837325855763007,0.20217033698690023,0.6708612983722599,0.4059371741331408
Russell Westbrook,SAC,MEM,1,7.055878397029401,0.32506209511896456,2.2935986146430185,1.2008506616257089,1.0927479530173096,0.1993527665043322,0.6676670143210617,0.402262920485184
Zach LaVine,SAC,MEM,1,6.628162088092298,0.3321628242354012,2.201629038670752,1.2626582278481013,0.9389708108226507,0.1809680051067165,0.6458268226146564,0.3777230339445983
Malik Monk,SAC,MEM,1,6.350662088092296,0.3325408571311415,2.111854614124457,1.240740740740741,0.8711138733837163,0.1636034752742439,0.6234241257171204,0.35356865144031535
Vince Williams Jr.,MEM,SAC,0,5.5002853914238425,0.32370278256328333,1.780457686096076,1.2327044025157232,0.5477532835803527,0.1055890701575235,0.5313233231524592,0.2641516749858954
Dennis Schröder,SAC,MEM,1,4.859010910738118,0.33485018302440483,1.627040692778239,1.2826735218508998,0.34436717092733926,0.08258435620492377,0.48375958010650644,0.2236525804894125
Cedric Coward,MEM,SAC,0,4.941746848044237,0.32542106739337584,1.6081485340784063,1.222079589216945,0.38606894486146137,0.07994058231888845,0.4776972813404511,0.21874944399533125
Cam Spencer,MEM,SAC,0,4.577630903038655,0.3357289620313999,1.5368432716400273,1.2652238408580883,0.27161943078193906,0.07035150517556088,0.45442924202435675,0.20045678991232574
Ty Jerome,MEM,SAC,0,4.110783472163329,0.36071077990614975,1.4828039122693448,,,,0.4364027514922729,0.18684912009252252
Ja Morant,MEM,SAC,0,4.104032881052922,0.3296187734335292,1.3527662843835373,1.2144377660906587,0.13832851829287862,0.048542556713208396,0.39175316830934337,0.1552066212359512
Keon Ellis,SAC,MEM,1,4.127432478882506,0.32609309942836756,1.3459272497201065,1.2361111111111112,0.1098161386089953,0.0478161158095215,0.38935927872822595,0.153591528860323
Santi Aldama,MEM,SAC,0,3.9688519593643297,0.32244416439447554,1.2797331536426082,1.2195506982392228,0.060182455403385404,0.04109979054758384,0.3659799848473224,0.13824602389471718
Nique Clifford,SAC,MEM,1,3.7174351404511494,0.3281743515877564,1.219966866787096,1.238834487700024,-0.01886762091292793,0.03552692750277209,0.34457709544578696,0.12487145957311996
Jock Landale,MEM,SAC,0,3.651746848044237,0.3210528547785605,1.1724037504932125,1.222523360705473,-0.050119610212260524,0.03142465008046291,0.32737645671255833,0.11458414969017716
DeMar DeRozan,SAC,MEM,1,2.943777804620228,0.33146658706042675,0.9757639819617028,1.2394239423942395,-0.2636599604325367,0.01753803352781269,0.25532606838634275,0.07589788607668624
Kentavious Caldwell-Pope,MEM,SAC,0,2.492452799953188,0.36505239992440824,0.9098758763212222,,,,0.23113326623835484,0.06449289158035565
John Konchar,MEM,SAC,0,2.388415141426396,0.32462684125511876,0.7753436629671487,1.2578995044492993,-0.4825558414821506,0.00816623840695585,0.1823734981362386,0.04394324493457247
Maxime Raynaud,SAC,MEM,1,2.1810973214874068,0.32763719867513197,0.7146086164499676,1.2380952380952381,-0.5234866216452705,0.006178190397817529,0.1608986438058736,0.03594298679031305
Domantas Sabonis,SAC,MEM,1,1.9149584005124745,0.3357581955779702,0.6429629771629444,1.2062281355737798,-0.5632651584108355,0.0042818124716612616,0.1362411621873867,0.027571913658411273
Dylan Cardwell(TW),SAC,MEM,1,1.2108425440607489,0.32644179686834573,0.39526961580782993,1.2575230606381371,-0.8622534448303072,0.0007429457652281535,0.060288105799470526,0.0076750587321539054
