player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Nickeil Alexander-Walker,ATL,UTA,1,8.208144155039843,0.3275865695208778,2.688877785882346,0.0,2.688877785882346,0.7493143454793654,0.7493143454793654,0.5036470493598966
CJ McCollum,ATL,UTA,1,6.854535901527667,0.32445918281798525,2.2240171172062086,1.222079589216945,1.0019375279892637,0.18539067358875894,0.6512461767800442,0.383719007894872
Keyonte George,UTA,ATL,0,6.66158117388674,0.3281556265814428,2.1860353441399463,1.2361111111111112,0.9499242330288351,0.17790860256526586,0.642012797037623,0.37353938892822014
Brice Sensabaugh,UTA,ATL,0,6.331745372860983,0.31739177855000705,2.009643925218125,1.2575230606381371,0.7521208645799877,0.14462093943165832,0.5965981835916898,0.32593389033634523
Jalen Johnson,ATL,UTA,1,5.872212517761011,0.3281556265814428,1.9269995781852565,1.2394239423942395,0.687575635791017,0.12995002581761306,0.5738746446384811,0.303573453146776
Ace Bailey,UTA,ATL,0,5.8057770464904355,0.3281556265814428,1.9051984044832273,1.222523360705473,0.6826750437777542,0.12618795507968483,0.5677264696182317,0.29768325538147944
Onyeka Okongwu,ATL,UTA,1,5.780218736643077,0.31739177855000705,1.834593905231221,1.2062281355737798,0.6283657696574412,0.11433017020554859,0.5473767700862512,0.27865930899062796
Corey Kispert,ATL,UTA,1,5.054712517761011,0.3281556265814428,1.658732353454927,1.2380952380952381,0.42063711535968884,0.08711450114975161,0.493830103948653,0.2319247795331305
Svi Mykhailiuk,UTA,ATL,0,4.676953239400259,0.3281556265814428,1.5347685207675006,1.238834487700024,0.2959340330674767,0.07008183579162652,0.4537432639465324,0.19993002536695537
Zaccharie Risacher,ATL,UTA,1,3.987145954603242,0.3275865695208778,1.3061354654475217,0.0,1.3061354654475217,0.37534907204946344,0.37534907204946344,0.14430276939203224
Luke Kennard,ATL,UTA,1,3.760405484097369,0.3281556265814428,1.2339982178342659,1.240740740740741,-0.006742522906475035,0.03679338897643214,0.3496244507986831,0.12796796036520297
Jusuf Nurkić,UTA,ATL,0,3.4521173112257144,0.33191708796840275,1.1458167252673515,1.2826735218508998,-0.13685679658354832,0.0292594339948824,0.31770726815933137,0.1089803610533393
Isaiah Collier,UTA,ATL,0,3.277447375821039,0.3281556265814428,1.0755127972002587,1.2626582278481013,-0.18714543064784261,0.023971779760426637,0.29199529715117123,0.09470219756267195
Mouhamed Gueye,ATL,UTA,1,3.2375019370790508,0.3281556265814428,1.0624044767208107,1.2237224761113419,-0.16131799939053115,0.02305547984116041,0.287183997501928,0.09213065962703493
Dyson Daniels,ATL,UTA,1,2.583428395503217,0.32054277126848424,0.8280992972682949,1.2652238408580883,-0.43712454358979336,0.010199290421164298,0.20134203645886195,0.051547531775483546
Cody Williams,UTA,ATL,0,2.124172070743308,0.32054277126848424,0.6808880022071746,1.2327044025157232,-0.5518164003085486,0.0052277835176263165,0.14918943303151977,0.031857705393322444
Kyle Anderson,UTA,ATL,0,1.6655248780288268,0.31392707409449927,0.5228533517911873,1.2578995044492993,-0.735046152658112,0.002057223264333885,0.09721204102921777,0.016179870572985755
