player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Gary Trent Jr.,MIL,IND,1,6.39526330407274,0.31936916738543336,2.0424499166323264,1.2327044025157232,0.8097455141166032,0.15061663651031454,0.6053621744945048,0.33481181970512197
A.J. Green,MIL,IND,1,6.053057853646059,0.3275865695208778,1.98290045738732,0.0,1.98290045738732,0.5893460222535682,0.5893460222535682,0.31869535418873274
Andrew Nembhard,IND,MIL,0,5.780831102572803,0.3281556265814428,1.897012252626271,1.2626582278481013,0.6343540247781696,0.12478737827820097,0.5654013443327979,0.29547310442388497
Aaron Nesmith,IND,MIL,0,5.753000017632127,0.3281556265814428,1.8878793255091222,1.238834487700024,0.6490448378090983,0.12323266762893836,0.562796663044191,0.2930084996245872
Pascal Siakam,IND,MIL,0,5.753675651456413,0.31739177855000705,1.8261693482156214,1.2575230606381371,0.5686462875774843,0.11294948236308822,0.5449041125975015,0.27639635888961334
Bobby Portis,MIL,IND,1,5.497447375821039,0.33191708796840275,1.8246967242420569,1.2826735218508998,0.5420232023911571,0.11270890053524285,0.5444709187560146,0.2760009757326425
Myles Turner,MIL,IND,1,5.3886785801375074,0.32054277126848424,1.7273019655523976,1.222523360705473,0.5047786048469245,0.0973158634760658,0.515185597258701,0.25000067560933514
Jay Huff,IND,MIL,0,5.210859739019582,0.32445918281798525,1.6907112927014334,1.2394239423942395,0.4512873503071939,0.09180490449092582,0.503864256338111,0.24032681427362057
Jarace Walker,IND,MIL,0,4.975218719953562,0.3281556265814428,1.632646016426085,1.2380952380952381,0.39455077833084684,0.08337695758789854,0.4855498332921824,0.22511149571256373
Bennedict Mathurin,IND,MIL,0,4.037905484097368,0.3281556265814428,1.325061404210616,1.240740740740741,0.08432066346987499,0.04563734248415163,0.3820297458380495,0.14869728746434407
Kevin Porter Jr.,MIL,IND,1,4.068322572781957,0.32054277126848424,1.3040713918936582,1.2237224761113419,0.08034891578231629,0.04350282677042272,0.3746186551015186,0.14382613459078297
Johnny Furphy,IND,MIL,0,3.448951394020635,0.3281556265814428,1.131792805753782,1.222079589216945,-0.09028678346316288,0.02815410735922974,0.3125935196081522,0.10606858555084231
Kyle Kuzma,MIL,IND,1,3.2629871993758472,0.3275865695208778,1.0689107830340703,0.0,1.0689107830340703,0.2895725913236158,0.2895725913236158,0.09340337098284468
Amir Coffey,MIL,IND,1,2.9138868427884357,0.32054277126848424,0.9340253637501792,1.2652238408580883,-0.33119847710790906,0.015206784753928337,0.23998860481237905,0.06857500224919666
Giannis Antetokounmpo,MIL,IND,1,1.8527154390531402,0.31392707409449927,0.5816175369116579,1.2578995044492993,-0.6762819675376415,0.003008077446323254,0.11588616854138922,0.021338308588370825
