player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Nickeil Alexander-Walker,ATL,MIN,0,8.025395837122376,0.31451972576651765,2.5241452978594823,1.2575230606381371,1.2666222372213451,0.24759748053241404,0.71762162714995,0.46236540852749886
Anthony Edwards,MIN,ATL,1,6.561534773509364,0.3267026096661208,2.143670533920508,0.0,2.143670533920508,0.6314870615543084,0.6314870615543084,0.36214647775393716
CJ McCollum,ATL,MIN,0,6.507954003132337,0.32222921661189624,2.097052920175587,1.238834487700024,0.8582184324755631,0.1608004713155884,0.6196266207762395,0.3495728328444998
Naz Reid,MIN,ATL,1,6.457060935351516,0.32356213517994825,2.08926042322937,1.2652238408580883,0.8240365823712819,0.15933193848265126,0.6176155283352157,0.34746806972171296
Onyeka Okongwu,ATL,MIN,0,6.206253930564512,0.3228763499040141,2.00385261567811,1.240740740740741,0.7631118749373691,0.1435724013311337,0.5950359355924442,0.3243663721963632
Jalen Johnson,ATL,MIN,0,5.700850218690231,0.3127782185194035,1.7831017754478824,1.2578995044492993,0.5252022709985831,0.10600870327348177,0.5321163958897799,0.2648582153487242
Ayo Dosunmu,MIN,ATL,1,5.439052881758576,0.32356213517994825,1.7598715637784554,1.2237224761113419,0.5361490876671136,0.10234800395510779,0.5251172844155921,0.25865886754716483
Corey Kispert,ATL,MIN,0,4.987898113327403,0.32356213517994825,1.61389496360825,1.222079589216945,0.3918153743913051,0.08074021943255416,0.47954587512551383,0.2202385054269126
Zaccharie Risacher,ATL,MIN,0,4.934106285221026,0.32356213517994825,1.596489964850918,1.2394239423942395,0.3570660224566786,0.07833044934132871,0.47393444536779716,0.21573481975023134
Bones Hyland,MIN,ATL,1,4.445279312233189,0.3267026096661208,1.4522843520014015,0.0,1.4522843520014015,0.42607948810837026,0.42607948810837026,0.17927432542485444
Jaden McDaniels,MIN,ATL,1,4.2299344608371765,0.3229668459738836,1.3661285914928227,1.2327044025157232,0.1334241889770995,0.049979423149137614,0.39641806281084513,0.15837745149898952
Jock Landale,ATL,MIN,0,4.008493026851072,0.3228045140943499,1.2939596437832501,1.2380952380952381,0.05586440568801199,0.04249505399641962,0.37103534567612995,0.14149875083036734
Mouhamed Gueye,ATL,MIN,0,2.7487539305645123,0.32914853688839185,0.9047483345115255,1.2826735218508998,-0.3779251873393743,0.013694580804633816,0.22925557274279873,0.0636410643508275
Dyson Daniels,ATL,MIN,0,2.357269475921898,0.32504428304033156,0.7662169667338914,1.2626582278481013,-0.49644126111420994,0.007843973104600721,0.17911890900881045,0.04268895495913061
Rudy Gobert,MIN,ATL,1,1.3206240835562608,0.32356213517994825,0.42730394824552614,1.222523360705473,-0.795219412459947,0.0009893710191021254,0.06901920880539025,0.00947108688777043
