player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Jamal Murray,DEN,CLE,1,7.606378740480153,0.3229668459738836,2.456608151095676,1.2327044025157232,1.2239037485799529,0.23318982664412102,0.7036814870677129,0.44500889373015484
Donovan Mitchell,CLE,DEN,0,7.581606285221027,0.32356213517994825,2.4531207177398313,1.222079589216945,1.2310411285228864,0.23245140735614345,0.7029462974012617,0.4441064984685916
James Harden,CLE,DEN,0,7.514560935351513,0.32356213517994825,2.4314273811821647,1.2652238408580883,1.1662035403240765,0.2278711666059573,0.6983388949600253,0.4384802821113698
Sam Merrill,CLE,DEN,0,6.1728981133274035,0.32356213517994825,1.997316093796489,1.222523360705473,0.7747927330910158,0.14239256180634596,0.5932672084441132,0.32259712984083944
Nikola Jokić,DEN,CLE,1,5.418753930564512,0.3228763499040141,1.7495874901286992,1.2394239423942395,0.5101635477344597,0.1007463295766593,0.5219961983556484,0.2559205425300677
Peyton Watson,DEN,CLE,1,5.231253930564512,0.32914853688839185,1.7218595773369583,1.2826735218508998,0.4391860554860585,0.096486561451398,0.5135125929522666,0.24855806094812127
Jaylon Tyson,CLE,DEN,0,4.519023280207262,0.32439488627017543,1.4659480430351097,1.238834487700024,0.22711355533508581,0.06144160262550169,0.43071364300777837,0.18265519931976237
Cameron Johnson,DEN,CLE,1,4.485395837122378,0.31451972576651765,1.4107454686460104,1.2575230606381371,0.15322240800787323,0.054944527909378316,0.4118712814161052,0.16910500344067636
Keon Ellis,CLE,DEN,0,4.247269475921898,0.32504428304033156,1.380550661680118,1.240740740740741,0.13980992093937705,0.051556219770778955,0.40143420706196986,0.16182187451768748
Evan Mobley,CLE,DEN,0,4.023229266021744,0.32108543150000074,1.291800304904023,1.2062281355737798,0.08557216933024314,0.04228157579411973,0.37026906419811934,0.14100339587527722
Bruce Brown,DEN,CLE,1,3.4987539305645123,0.32504428304033156,1.137249962894884,1.2626582278481013,-0.12540826495321733,0.028581214755342255,0.3145844787974623,0.10719797814571053
Dean Wade,CLE,DEN,0,3.4451374456244075,0.3228763499040141,1.1123534033608475,1.2361111111111112,-0.12375770775026362,0.02666375891003081,0.3054913906403245,0.10208404376511193
Julian Strawther,DEN,CLE,1,3.3639507803296893,0.3267026096661208,1.099011498722093,0.0,1.099011498722093,0.30060876017851523,0.30060876017851523,0.09938472781797669
Spencer Jones(TW),DEN,CLE,1,3.4058502186902317,0.31065444181853547,1.058042498604751,1.2578995044492993,-0.19985700584454835,0.022755373260388567,0.28558211230497776,0.09128148154399751
Nae'Qwan Tomlin(TW),CLE,DEN,0,3.246065557233206,0.3221195699194834,1.0456212412264085,1.2380952380952381,-0.1924739968688296,0.021913880241795525,0.2810185436072239,0.08888142949106248
Christian Braun,DEN,CLE,1,1.785078749820053,0.3278497258603483,0.5852375787676376,0.0,0.5852375787676376,0.11706464411739537,0.11706464411739537,0.021682086611465756
Jarrett Allen,CLE,DEN,0,1.3815528817585765,0.32356213517994825,0.44701820028581557,1.2237224761113419,-0.7767042758255263,0.0011667197764881898,0.07458516781215763,0.010687813255472856
