player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Shaedon Sharpe,POR,PHI,1,6.873753930564512,0.32914853688839185,2.262486049176142,1.2826735218508998,0.979812527325242,0.1930704420440461,0.6604033036487693,0.39398956464538415
Caleb Love(TW),POR,PHI,1,6.961378740480153,0.3229668459738836,2.248294535442521,1.2327044025157232,1.0155901329267978,0.1902257367484057,0.6570478806047313,0.3902056860382075
Toumani Camara,POR,PHI,1,6.468753930564511,0.3228763499040141,2.0886076575279136,1.2394239423942395,0.8491837151336741,0.15920914714594914,0.6174466905962364,0.34729172427314814
Paul George,PHI,POR,0,6.175729266021744,0.32108543150000074,1.9829366962077744,1.2062281355737798,0.7767085606339945,0.13981072588585997,0.5893559148054989,0.31870516225123
Jerami Grant,POR,PHI,1,5.942269475921898,0.32504428304033156,1.93150072143348,1.240740740740741,0.6907599806927391,0.13073250778028522,0.5751360325639928,0.30479021905601344
Scoot Henderson,POR,PHI,1,6.127895837122378,0.31451972576651765,1.9273441182175155,1.2575230606381371,0.6698210575793784,0.13000985177648072,0.5739712942323781,0.3036665833347951
VJ Edgecombe,PHI,POR,0,5.886606285221027,0.32356213517994825,1.904682898609819,1.222079589216945,0.6826033093928741,0.1260995613414324,0.5675803159048932,0.29754404830729153
Deni Avdija,POR,PHI,1,5.5076374456244075,0.3228763499040141,1.7782858750378765,1.2361111111111112,0.5421747639267653,0.10524495840961567,0.5306712183739185,0.2635715066215758
Jrue Holiday,POR,PHI,1,4.993565557233206,0.3221195699194834,1.6085251896607056,1.2380952380952381,0.37042995156546743,0.07999287397302723,0.47781857262606864,0.21884698261790136
Sidy Cissoko(TW),POR,PHI,1,4.747898113327403,0.32356213517994825,1.5362400511650625,1.222523360705473,0.3137166904595894,0.07027304554171632,0.4542298495110433,0.20030360246154222
Joel Embiid,PHI,POR,0,4.297060935351514,0.32356213517994825,1.3903662112406814,1.2652238408580883,0.12514237038259313,0.05264476521227901,0.40483680312045833,0.16417894842501646
Donovan Clingan,POR,PHI,1,4.284052881758576,0.32356213517994825,1.3861572976456153,1.2237224761113419,0.16243482153427347,0.052176471473125985,0.4033789062325823,0.16316697748029607
Vit Krejci,POR,PHI,1,3.573950780329689,0.3267026096661208,1.1676190467519783,0.0,1.1676190467519783,0.32563899454386536,0.32563899454386536,0.11356772465997811
Quentin Grimes,PHI,POR,0,2.7300787498200534,0.3278497258603483,0.8950555697056668,0.0,0.8950555697056668,0.22570892269439335,0.22570892269439335,0.062045244155436774
Dominick Barlow(TW),PHI,POR,0,2.4565232802072616,0.32439488627017543,0.7968835901028729,1.238834487700024,-0.441950897597151,0.008960877583608085,0.1900880691169179,0.04697555020368804
Andre Drummond,PHI,POR,0,2.2433502186902317,0.31065444181853547,0.6969067099907034,1.2578995044492993,-0.560992794458596,0.005666090478416486,0.1547304418244585,0.0337663253024999
Robert Williams,POR,PHI,1,1.653753930564512,0.32504428304033156,0.5375432606854721,1.2626582278481013,-0.7251149671626292,0.0022719883698291143,0.10179540571597545,0.01739495318819917
