player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Klay Thompson,DAL,LAL,0,6.490855821556524,0.3357946937337327,2.179594942669389,0.0,2.179594942669389,0.6404281031250653,0.6404281031250653,0.37180984347731183
Max Christie,DAL,LAL,0,6.095110640137695,0.32893712130904557,2.0049081480270274,0.0,2.0049081480270274,0.595321011392364,0.595321011392364,0.3246520723600821
Austin Reaves,LAL,DAL,1,4.267021253416252,0.33515457809445454,1.4301117079087946,0.0,1.4301117079087946,0.4185175460655416,0.4185175460655416,0.17382524485638506
Cooper Flagg,DAL,LAL,0,3.408685875102159,0.33515457809445454,1.1424366763263907,0.0,1.1424366763263907,0.3164755565291053,0.3164755565291053,0.10827574404528806
Khris Middleton,DAL,LAL,0,3.2279470478640646,0.32799387203832797,1.0587468509636246,0.0,1.0587468509636246,0.285840804094168,0.285840804094168,0.09141838054974716
Rui Hachimura,LAL,DAL,1,3.127118963022377,0.3357946937337327,1.0500699544570469,0.0,1.0500699544570469,0.2826533179698021,0.2826533179698021,0.08973792498915523
P.J. Washington,DAL,LAL,0,2.9321372136581054,0.3357946937337327,0.984596117645604,0.0,0.984596117645604,0.258574571860273,0.258574571860273,0.07748994543866283
Jake LaRavia,LAL,DAL,1,2.86435833172192,0.33937331132098386,0.9720867718463171,0.0,0.9720867718463171,0.2539737671239719,0.2539737671239719,0.07523936579796642
Naji Marshall,DAL,LAL,0,2.943135566764374,0.32904881520911883,0.9684352712436357,0.0,0.9684352712436357,0.2526310618410259,0.2526310618410259,0.07458797847536947
Luke Kennard,LAL,DAL,1,2.660542763733014,0.3367491349531708,0.8959354741930109,0.0,0.8959354741930109,0.22603072575474747,0.22603072575474747,0.062189330756396544
Marcus Smart,LAL,DAL,1,2.410471316830064,0.3367491349531708,0.8117241307719547,0.0,0.8117241307719547,0.19542829003207185,0.19542829003207185,0.04912314227706949
