player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Caleb Love(TW),POR,UTA,0,5.904938733240123,0.3357946937337327,1.9828470934448228,0.0,1.9828470934448228,0.589331454525112,0.589331454525112,0.3186809112053721
Shaedon Sharpe,POR,UTA,0,5.717455936128919,0.34033271232151396,1.9458372863214957,0.0,1.9458372863214957,0.5791354377286507,0.5791354377286507,0.3086669638856736
Jaren Jackson Jr.,UTA,POR,1,5.711479658653302,0.3367491349531708,1.923335834354131,0.0,1.923335834354131,0.5728459086166835,0.5728459086166835,0.3025832087395548
Scoot Henderson,POR,UTA,0,5.290461785148342,0.33610812057412226,1.7781671675754251,0.0,1.7781671675754251,0.5306355575692318,0.5306355575692318,0.2635398001272522
Toumani Camara,POR,UTA,0,5.346935202116276,0.3270583851448888,1.7487599926785087,0.0,1.7487599926785087,0.5217444636420785,0.5217444636420785,0.25570037865775563
Lauri Markkanen,UTA,POR,1,5.121920877661118,0.32860564893924166,1.683092133819282,0.0,1.683092133819282,0.501485310750531,0.501485310750531,0.23832029292300128
Jerami Grant,POR,UTA,0,4.848685875102159,0.33515457809445454,1.6250592687824053,0.0,1.6250592687824053,0.48312581728507875,0.48312581728507875,0.22313731551752736
Keon Johnson,POR,UTA,0,5.135021997739629,0.31511517597779143,1.6181233604675531,0.7128712871287128,0.9052520733388403,0.22133551215714586,0.4809035495020604,0.22133551215714586
Brice Sensabaugh,UTA,POR,1,4.5181982956746,0.3367491349531708,1.5214993676153123,0.0,1.5214993676153123,0.44934436985389214,0.44934436985389214,0.19656898683015778
Deni Avdija,POR,UTA,0,4.325115770211376,0.33470107503699964,1.4476208979492282,0.0,1.4476208979492282,0.42449329908078126,0.42449329908078126,0.178124376398762
Ace Bailey,UTA,POR,1,4.385711190911889,0.32999978018025844,1.4472837289350227,0.0,1.4472837289350227,0.4243785282916932,0.4243785282916932,0.17804131377683974
Keyonte George,UTA,POR,1,4.300855821556525,0.3357946937337327,1.444204563392515,0.0,1.444204563392515,0.4233298417127662,0.4233298417127662,0.1772832476632481
Jrue Holiday,POR,UTA,0,3.9191006139863833,0.32999978018025844,1.2933023411198223,0.0,1.2933023411198223,0.3708021293240701,0.3708021293240701,0.14134790288083487
Vince Williams Jr.,UTA,POR,1,3.8739701789661485,0.32904881520911883,1.274725297544269,0.0,1.274725297544269,0.3641966749218355,0.3641966749218355,0.13710717652162752
John Butler,POR,UTA,0,3.957193715706566,0.3097343526380106,1.225678833797577,0.7128712871287128,0.5128075466688642,0.12612869618209666,0.3466333820420846,0.12612869618209666
Svi Mykhailiuk,UTA,POR,1,3.66395493900302,0.31987379780021297,1.1720031813077436,0.0,1.1720031813077436,0.3272310451171132,0.3272310451171132,0.11449892370223858
Sidy Cissoko(TW),POR,UTA,0,3.5524466023422274,0.3215814794775002,1.1424010341460324,0.0,1.1424010341460324,0.31646256550403096,0.31646256550403096,0.10826832344929127
Vit Krejci,POR,UTA,0,3.215853744041249,0.32382809911918214,1.0413838049781827,0.0,1.0413838049781827,0.27946111196000967,0.27946111196000967,0.08806883761292406
Donovan Clingan,POR,UTA,0,3.0959248880549057,0.33610812057412226,1.0405654955627843,0.0,1.0405654955627843,0.27916031866973756,0.27916031866973756,0.08791227851818217
Sidy Cissoko,POR,UTA,0,3.014708022802235,0.3223821786182145,0.9718881402887943,0.7128712871287128,0.2590168531600815,0.07520386723411177,0.2539007238688774,0.07520386723411177
Trent Forrest,UTA,POR,1,3.018735129577035,0.2991366993609021,0.9030144629064792,1.2652238408580883,-0.362209377951609,0.013608153808274404,0.22862085942105126,0.06335421155985266
Kevin Love,UTA,POR,1,2.289254960871716,0.33515457809445454,0.7672542805615971,0.0,0.7672542805615971,0.17948836841436688,0.17948836841436688,0.042830593808036
Rayan Rupert,POR,UTA,0,2.151522041309927,0.33515457809445454,0.7210924620161482,0.0,0.7210924620161482,0.16316906695579259,0.16316906695579259,0.03675790059472894
Jusuf Nurkić,UTA,POR,1,2.1009574032024196,0.33530900211555115,0.704469930355083,0.0,0.704469930355083,0.15736025345748605,0.15736025345748605,0.03468766712777649
Blake Wesley,POR,UTA,0,2.028997607302051,0.3367491349531708,0.683263189081019,0.0,0.683263189081019,0.15000847929009065,0.15000847929009065,0.03213703121539957
Isaiah Collier,UTA,POR,1,2.0171372136581054,0.3357946937337327,0.6773439728792385,0.0,0.6773439728792385,0.14796902658303634,0.14796902658303634,0.03144330632630743
CJ Elleby,POR,UTA,0,1.9548141891659345,0.3244713217249317,0.6342811436853214,1.222523360705473,-0.5882422170201517,0.004082813638708549,0.1333136249777449,0.02663711353318121
Kyle Filipowski,UTA,POR,1,1.9175164883306077,0.32799387203832797,0.6289336577048934,0.0,0.6289336577048934,0.1315176836897961,0.1315176836897961,0.02606994738074686
Reggie Perry,POR,UTA,0,1.9815369502212974,0.30652343340173704,0.607387509394239,0.7128712871287128,-0.10548377773447382,0.023851359949543238,0.12433993176539637,0.023851359949543238
Kira Lewis Jr.,UTA,POR,1,1.981634565803553,0.3050665743633669,0.6045304686297279,0.7128712871287128,-0.10834081849898491,0.023565200403614317,0.12339544759326893,0.023565200403614317
Jeenathan Williams,POR,UTA,0,1.8529094002532591,0.3097343526380106,0.5739096935843276,0.7128712871287128,-0.1389615935443852,0.020616397382266394,0.11338719953008969,0.020616397382266394
Keljin Blevins,POR,UTA,0,1.6462912667478435,0.32510101062356117,0.5352109546004666,1.2237224761113419,-0.6885115215108752,0.002236905070465922,0.10106374473877389,0.01719872994549665
John Konchar,UTA,POR,1,1.2884591775419398,0.3357946937337327,0.43265775491111286,0.0,0.43265775491111286,0.07051672523041197,0.07051672523041197,0.00979304095260003
Udoka Azubuike,UTA,POR,1,1.1593563967656277,0.3244713217249317,0.37617790240879756,1.2327044025157232,-0.8565265001069257,0.0006187304706805064,0.0552811242392105,0.006709281745783224
Josh Richardson,UTA,POR,1,0.588346580656321,0.3217082703530829,0.1892759608310956,0.7128712871287128,-0.5235953262976172,0.000981248026104664,0.01580504362455193,0.000981248026104664
Yang Hansen,POR,UTA,0,0.5046385575136382,0.3357946937337327,0.1694549498665248,0.0,0.1694549498665248,0.012834095902147014,0.012834095902147014,0.0007145827777150782
Robert Williams,POR,UTA,0,0.5013682891122222,0.33515457809445454,0.16803587740734532,0.0,0.16803587740734532,0.01263181683042014,0.01263181683042014,0.0006975158612920751
Taze Moore,POR,UTA,0,0.5179806036557014,0.3063723317608819,0.15869492534890645,0.7128712871287128,-0.5541763617798063,0.0005916358795219345,0.011335877162124697,0.0005916358795219345
Ibou Badji,POR,UTA,0,0.5087346176325657,0.3063723317608819,0.1558622110515698,0.7128712871287128,-0.557009076077143,0.0005616984264094071,0.010955192476754139,0.0005616984264094071
Matisse Thybulle,POR,UTA,0,0.061128201949042296,0.33748312893830024,0.020629736860135098,0.0,0.020629736860135098,0.00020988896185103467,0.00020988896185103467,1.440833338417491e-06
Damian Lillard,POR,UTA,0,0.05995811983086033,0.3219667801542262,0.019304522786043356,0.0,0.019304522786043356,0.0001839515334325359,0.0001839515334325359,1.1817921810042264e-06
Walker Kessler,UTA,POR,1,0.05493550033127733,0.3284152006972814,0.018041653366702014,0.0,0.018041653366702014,0.0001608062815616762,0.0001608062815616762,9.656146884307049e-07
Oscar Tshiebwe(TW),UTA,POR,1,0.046540208766648876,0.32799387203832797,0.0152649032788453,0.0,0.0152649032788453,0.00011532973360672827,0.00011532973360672827,5.860851558514568e-07
Kris Murray,POR,UTA,0,0.043495648782436495,0.33515457809445454,0.014577765816622078,0.0,0.014577765816622078,0.0001052286049109119,0.0001052286049109119,5.10710876255871e-07
Elijah Harkless(TW),UTA,POR,1,0.04430863230577432,0.3223787796023046,0.014284162808582773,0.0,0.014284162808582773,0.000101052337005747,0.000101052337005747,4.805760652759616e-07
