player,team,opp,is_home,pred_fg2a,pred_fg2_rate,pred_fta,pred_ft_rate,pred_fg3a,pred_fg3_rate,pred_pts,sd_pts,baseline_pts,delta_pts,p_over_baseline_3,p_over_22_5
Jaylen Brown,BOS,GSW,0,13.006610453491058,0.5135946803231803,6.68173464177767,0.6446018305163411,5.749825514481536,0.3496081008373725,23.697866991804556,5.127805727313973,29.277929664525566,-5.580062672721009,0.040652527186019416,0.6297192446464388
Payton Pritchard,BOS,GSW,0,6.774286816666264,0.5573055948612806,2.382395455569258,0.7487742095692655,7.612493707635641,0.3315280925854827,16.905838718505827,4.7240866170326905,16.820253475925472,0.08558524258035405,0.25606002455934607,0.1404415116728781
Derrick White,BOS,GSW,0,6.226833116697237,0.4487327208894787,3.016133809492514,0.741287223450419,8.85831400073201,0.33415641850782407,16.70437643266114,4.947550033947732,17.590419928303273,-0.8860434956421344,0.17461859031450455,0.14223028932532072
Nikola Vučević,BOS,GSW,0,7.774215818020572,0.5577161524501658,1.8033643228208478,0.6633350963656796,4.731850355606801,0.3471639032851529,14.796029233189186,4.21013595488884,16.193443453762985,-1.3974142205737987,0.11372058364477167,0.04353117070704293
De'Anthony Melton,GSW,BOS,1,5.523368897217093,0.5006511442871292,3.0522623844401284,0.7365161589966558,5.018177425872109,0.3327183479767317,12.787521594032059,4.017805538720938,12.010237046540151,0.7772845474919077,0.21791027321542933,0.010926508156758663
Brandin Podziemski,GSW,BOS,1,5.543538505153592,0.46740251396659,2.992126742234083,0.6944604391688323,4.9662530525890975,0.3436647033013235,12.380218964131425,4.0294566758471735,11.98734910001726,0.39286986411416436,0.26341156481272865,0.00848483301638292
Moses Moody,GSW,BOS,1,2.9134223549785436,0.47678204183702105,2.472133084335163,0.654990310077578,6.018285316378315,0.34699269514755166,10.662261260033455,3.9672245178906738,11.27359531990555,-0.6113340598720942,0.12253335466059889,0.0021325993967809542
Draymond Green,GSW,BOS,1,2.823186645043997,0.5244703881441604,1.522891457447359,0.6467550999036621,5.018177425872109,0.32671577258698564,8.864846551780202,3.6192680987884818,8.743695651661538,0.12115090011866414,0.18407931606417793,0.00014213438441373905
Sam Hauser,BOS,GSW,0,1.1962261091206898,0.4552913863436522,0.5455202878811815,0.6872016413612866,6.879390659255651,0.3566061915319099,8.823845233603953,3.938207768347579,8.816773774807125,0.007071458796827912,0.18024302171079987,0.00041034076127310914
Al Horford,GSW,BOS,1,2.763020471715466,0.5233498317451457,0.7376056037903942,0.7576097960673415,4.499728928015916,0.32671577258698564,7.861267068473318,3.435229138103383,7.417715239680192,0.44355182879312594,0.170586216318954,1.9291528532194846e-05
Neemias Queta,BOS,GSW,0,4.820808574624289,0.6074836074722259,2.6421405919394356,0.6301200451907496,0.20658415923788648,0.33303814981867164,7.72839133540809,2.3720919751600347,9.213164109921642,-1.4847727745135524,0.051601918420859705,8.913343396699247e-10
Pat Spencer(TW),GSW,BOS,1,3.9693872845192932,0.45440826307434623,1.0843424198004952,0.6059315451285722,2.351194349281252,0.341513157776469,6.673373461041477,2.992318780945503,6.487692908012661,0.18568055302881614,0.13798408513892035,1.5116405344128836e-07
Gary Payton II,GSW,BOS,1,3.6281778948465893,0.5737647286965242,0.4908922593354358,0.5835239902041071,1.5619839606968804,0.32671577258698564,5.980862810389166,2.6001638446560817,5.020134848049061,0.9607279623401048,0.15079275924242652,3.6184977236786153e-10
Gui Santos,GSW,BOS,1,2.4968403339335996,0.5655573022207773,1.3336644407819884,0.6482859054782449,2.3194570006343844,0.3277808358994739,5.9696290897699855,2.7124973147759697,5.2708778384365855,0.6987512513334,0.14964240184019084,1.7124086593156562e-09
Baylor Scheierman,BOS,GSW,0,1.1492024886079126,0.5124620557084846,0.5455202878811815,0.6690136069924782,2.4381088001394216,0.3403181940943073,4.032004186564258,2.489080581364898,3.5293511028955153,0.5026530836687426,0.11403528369997451,2.6240121187015575e-13
