player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Jamal Murray,DEN,LAC,0,6.362366965131037,0.3352826405128324,2.13319119598075,0.0,2.13319119598075,0.6288463530503497,0.6288463530503497,0.3593229979014476
Tim Hardaway Jr.,DEN,LAC,0,5.5306453146308705,0.3258556650842526,1.8021921073441478,0.0,1.8021921073441478,0.5378150304274502,0.5378150304274502,0.26996599697389034
Kawhi Leonard,LAC,DEN,1,5.203591105424212,0.3328784330040917,1.732163253167641,0.0,1.732163253167641,0.5166767320224653,0.5166767320224653,0.2512903072028214
Julian Strawther,DEN,LAC,0,4.0650775526708705,0.3350939749427708,1.3621829955751128,0.0,1.3621829955751128,0.3950423394484912,0.3950423394484912,0.1574391012396762
Brook Lopez,LAC,DEN,1,3.4800775526708705,0.33784043377129486,1.175710909952073,0.0,1.175710909952073,0.3285766679278572,0.3285766679278572,0.11528870799665747
Nikola Jokić,DEN,LAC,0,3.3976974959799144,0.3350939749427708,1.1385479595810086,0.0,1.1385479595810086,0.3150578414846923,0.3150578414846923,0.10746729759672735
Kobe Sanders(TW),LAC,DEN,1,2.7307694657233186,0.332390200356223,0.9076810098384299,0.0,0.9076810098384299,0.23032939117748863,0.23032939117748863,0.06412761940103628
Derrick Jones Jr.,LAC,DEN,1,2.66582669893077,0.3350939749427708,0.8933024650532769,0.0,0.8933024650532769,0.22506786777834298,0.22506786777834298,0.061758635218261526
Kris Dunn,LAC,DEN,1,2.4840568853483735,0.32933504172409517,0.8180869779812325,0.0,0.8180869779812325,0.19772363899915102,0.19772363899915102,0.050058389467816045
Cameron Johnson,DEN,LAC,0,2.313888428741379,0.3337150848181552,0.7721794732571771,0.0,0.7721794732571771,0.18124414697593205,0.18124414697593205,0.0435063205344447
Jordan Miller(TW),LAC,DEN,1,2.268032911038743,0.3325740650717939,0.754288924940769,0.0,0.754288924940769,0.17487906961174648,0.17487906961174648,0.041077271836722495
John Collins,LAC,DEN,1,2.2376316337694386,0.3252775884243673,0.7278514216146001,0.0,0.7278514216146001,0.1655418924433042,0.1655418924433042,0.03761742505675858
Bruce Brown,DEN,LAC,0,2.257577552670871,0.3169333669936113,0.7155016550171759,0.0,0.7155016550171759,0.16121101085832934,0.16121101085832934,0.036054666626995524
Christian Braun,DEN,LAC,0,1.965702280553257,0.3252775884243673,0.6393988973786425,0.0,0.6393988973786425,0.1350376065002925,0.1350376065002925,0.027186064820167943
