player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Russell Westbrook,SAC,ORL,1,6.475645314630871,0.3258556650842526,2.1101257108487665,0.0,2.1101257108487665,0.6229820816862043,0.6229820816862043,0.3531020761689654
Jalen Suggs,ORL,SAC,0,5.477366965131036,0.3352826405128324,1.836466059126893,0.0,1.836466059126893,0.547924974440174,0.547924974440174,0.279162431718178
Desmond Bane,ORL,SAC,0,5.070077552670871,0.3350939749427708,1.6989524403925977,0.0,1.6989524403925977,0.5064290827051698,0.5064290827051698,0.24250028602754936
Anthony Black,ORL,SAC,0,4.713032911038743,0.3325740650717939,1.567432514041305,0.0,1.567432514041305,0.46448487039501174,0.46448487039501174,0.20826051137355517
Daeqwon Plowden(TW),SAC,ORL,1,4.522577552670871,0.33784043377129486,1.527909562158648,0.0,1.527909562158648,0.45147194993054174,0.45147194993054174,0.19819095099773376
Nique Clifford,SAC,ORL,1,4.408591105424212,0.3337150848181552,1.4712133546752055,0.0,1.4712133546752055,0.43249407431304343,0.43249407431304343,0.18396255218881963
Devin Carter,SAC,ORL,1,4.058202280553256,0.3252775884243673,1.3200422511566308,0.0,1.3200422511566308,0.3802609979065643,0.3802609979065643,0.14752765751238994
Paolo Banchero,ORL,SAC,0,3.8707694657233187,0.332390200356223,1.2866058382445242,0.0,1.2866058382445242,0.3684241836770893,0.3684241836770893,0.1398141835233624
Tristan Da Silva,ORL,SAC,0,3.120077552670871,0.3169333669936113,0.9888566840491657,0.0,0.9888566840491657,0.26014180612600835,0.26014180612600835,0.07826316116776666
DeMar DeRozan,SAC,ORL,1,2.5158266989307703,0.3350939749427708,0.8430383688118613,0.0,0.8430383688118613,0.20675477784966023,0.20675477784966023,0.05380890068508337
Wendell Carter Jr.,ORL,SAC,0,2.417631633769439,0.3252775884243673,0.7864013875309863,0.0,0.7864013875309863,0.18632820071684186,0.18632820071684186,0.04548730988408978
Maxime Raynaud,SAC,ORL,1,0.8509969974679832,0.3328784330040917,0.2832785470083292,0.0,0.2832785470083292,0.03329353219400111,0.03329353219400111,0.0030682011018873245
Dylan Cardwell(TW),SAC,ORL,1,0.045197495979913904,0.3350939749427708,0.015145408585369256,0.0,0.015145408585369256,0.00011354021611076348,0.00011354021611076348,5.724801406259417e-07
