player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Anthony Edwards,MIN,DAL,1,6.603176435446196,0.32628616841681435,2.1545251385019375,0.0,2.1545251385019375,0.6342068117131766,0.6342068117131766,0.36506897520553316
Donte DiVincenzo,MIN,DAL,1,5.521296813510736,0.3315899872123996,1.8308067397878873,0.0,1.8308067397878873,0.5462663838411079,0.5462663838411079,0.2776418066773365
Max Christie,DAL,MIN,0,5.485163671878925,0.3286972397537031,1.8029581585438892,0.0,1.8029581585438892,0.5380426988183148,0.5380426988183148,0.27017119166137693
Klay Thompson,DAL,MIN,0,5.282027553295414,0.333439373572892,1.7612359585655784,0.0,1.7612359585655784,0.5255303229345155,0.5255303229345155,0.2590224557923244
Naz Reid,MIN,DAL,1,4.682263012783831,0.33520443255498117,1.5695153162733806,0.0,1.5695153162733806,0.4651655547157376,0.4651655547157376,0.20879432912971996
Bones Hyland,MIN,DAL,1,4.398013532860095,0.33456672111400265,1.471428967104013,0.0,1.471428967104013,0.4325669184515306,0.4325669184515306,0.18401614074997596
Julius Randle,MIN,DAL,1,4.150347245195506,0.333439373572892,1.3838891855479674,0.0,1.3838891855479674,0.4025925604103515,0.4025925604103515,0.16262242390729043
Ayo Dosunmu,MIN,DAL,1,3.85767348517901,0.33520443255498117,1.2931092515818265,0.0,1.2931092515818265,0.370733612970118,0.370733612970118,0.14130360000782116
P.J. Washington,DAL,MIN,0,3.406601509359889,0.3340760149954125,1.1380638569243091,0.0,1.1380638569243091,0.3148813041854934,0.3148813041854934,0.10736682087158411
Naji Marshall,DAL,MIN,0,3.2490177309356616,0.3298345177603782,1.0716381964780821,0.0,1.0716381964780821,0.29057358591061466,0.29057358591061466,0.09393904044789758
Cooper Flagg,DAL,MIN,0,3.0111257360290065,0.3340760149954125,1.005944886542699,0.0,1.005944886542699,0.2664281063524443,0.2664281063524443,0.08139814175943583
Khris Middleton,DAL,MIN,0,2.8514863199711877,0.3340760149954125,0.9526131865899081,0.0,0.9526131865899081,0.24681516421486616,0.24681516421486616,0.07179482068993304
Jaden McDaniels,MIN,DAL,1,2.52308324736956,0.33456672111400265,0.8441396891701037,0.0,0.8441396891701037,0.20715442663746508,0.20715442663746508,0.053977470355249135
Caleb Martin,DAL,MIN,0,1.1496140567202355,0.333439373572892,0.38332659092338645,0.0,0.38332659092338645,0.05713806682157352,0.05713806682157352,0.007061877262768856
Marvin Bagley III,DAL,MIN,0,0.5973087986161787,0.3340760149954125,0.19954654316339035,0.0,0.19954654316339035,0.017448911857845584,0.017448911857845584,0.001141071207319877
Daniel Gafford,DAL,MIN,0,0.041704583127588894,0.3286972397537031,0.013708181359117326,0.0,0.013708181359117326,9.310286182473426e-05,9.310286182473426e-05,4.2493721263969775e-07
Rudy Gobert,MIN,DAL,1,0.03758712326570161,0.3340760149954125,0.012556956355746949,0.0,0.012556956355746949,7.81816921322509e-05,7.81816921322509e-05,3.26898649372076e-07
