player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Jamal Murray,DEN,POR,0,6.338796813510736,0.3315899872123996,2.101881554334024,0.0,2.101881554334024,0.6208686916790747,0.6208686916790747,0.3508766757960122
Jerami Grant,POR,DEN,1,5.806601509359888,0.3340760149954125,1.939846292913299,0.0,1.939846292913299,0.5774675347258397,0.5774675347258397,0.30704672926871
Tim Hardaway Jr.,DEN,POR,0,5.523134555366368,0.333439373572892,1.8416305263001551,0.0,1.8416305263001551,0.5494348115214783,0.5494348115214783,0.28055076260597045
Toumani Camara,POR,DEN,1,5.530163671878925,0.3286972397537031,1.8177495343328058,0.0,1.8177495343328058,0.5424234132089291,0.5424234132089291,0.2741364953594423
Jrue Holiday,POR,DEN,1,5.2015509338285515,0.3340760149954125,1.737713407769109,0.0,1.737713407769109,0.5183754250113574,0.5183754250113574,0.2527638700682926
Vit Krejci,POR,DEN,1,4.344728906371293,0.333439373572892,1.4487036848844799,0.0,1.4487036848844799,0.4248617938620065,0.4248617938620065,0.17839119651656854
Julian Strawther,DEN,POR,0,4.053476763576598,0.3340760149954125,1.3541693640521717,0.0,1.3541693640521717,0.39224376729147714,0.39224376729147714,0.1555386261938978
Scoot Henderson,POR,DEN,1,3.884642730935661,0.3298345177603782,1.2812892618295222,0.0,1.2812892618295222,0.36653372267860296,0.36653372267860296,0.1386005576320295
Nikola Jokić,DEN,POR,0,3.3927270783894286,0.33456672111400265,1.135093574251441,0.0,1.135093574251441,0.3137979079681079,0.3137979079681079,0.10675113837882777
Sidy Cissoko(TW),POR,DEN,1,3.2195275532954146,0.333439373572892,1.0735172505714887,0.0,1.0735172505714887,0.29126311630314494,0.29126311630314494,0.09430882791039397
Donovan Clingan,POR,DEN,1,2.904834203322207,0.3340760149954125,0.9704354348682568,0.0,0.9704354348682568,0.2533665300026373,0.2533665300026373,0.07494447289769135
Cameron Johnson,DEN,POR,0,2.291704583127589,0.3286972397537031,0.7532769708049493,0.0,0.7532769708049493,0.1745201118629781,0.1745201118629781,0.04094198371670532
Bruce Brown,DEN,POR,0,2.242587123265701,0.3340760149954125,0.7491945694206313,0.0,0.7491945694206313,0.1730732272090857,0.1730732272090857,0.04039850763037811
Christian Braun,DEN,POR,0,1.9533722380969178,0.33456672111400265,0.6535333448152068,0.0,0.6535333448152068,0.13982457276238547,0.13982457276238547,0.028733392368658683
