player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Nickeil Alexander-Walker,ATL,MIA,1,6.572263012783831,0.33520443255498117,2.203051693802295,0.0,2.203051693802295,0.6461731762965237,0.6461731762965237,0.37810442827593804
CJ McCollum,ATL,MIA,1,5.9190177309356615,0.3298345177603782,1.952296358898292,0.0,1.952296358898292,0.58092822148149,0.58092822148149,0.31041409003456755
Andrew Wiggins,MIA,ATL,0,5.800227078389429,0.33456672111400265,1.9405629553334025,0.0,1.9405629553334025,0.5776673101239558,0.5776673101239558,0.30724053184224376
Simone Fontecchio,MIA,ATL,0,5.31405093382855,0.3340760149954125,1.7752969594560926,0.0,1.7752969594560926,0.5297727570878137,0.5297727570878137,0.26277331761684763
Bam Adebayo,MIA,ATL,0,4.966296813510736,0.3315899872123996,1.6467742968850057,0.0,1.6467742968850057,0.4900449247004117,0.4900449247004117,0.22879680464575158
Jalen Johnson,ATL,MIA,1,4.412663671878925,0.3286972397537031,1.4504303689080429,0.0,1.4504303689080429,0.42544916444320213,0.42544916444320213,0.1788169130074736
Onyeka Okongwu,ATL,MIA,1,4.345634555366368,0.333439373572892,1.4490056639180746,0.0,1.4490056639180746,0.42496454154246666,0.42496454154246666,0.1784656297450068
Kasparas Jakučionis,MIA,ATL,0,4.150453538441272,0.333439373572892,1.3839246279012507,0.0,1.3839246279012507,0.40260485195021434,0.40260485195021434,0.1626309290807455
Corey Kispert,ATL,MIA,1,3.8958722380969166,0.33456672111400265,1.3034292005791563,0.0,1.3034292005791563,0.37439133005730607,0.37439133005730607,0.14367794704482617
Davion Mitchell,MIA,ATL,0,3.2736257360290066,0.3340760149954125,1.0936398404789947,0.0,1.0936398404789947,0.2986412393529836,0.2986412393529836,0.09830620623256103
Zaccharie Risacher,ATL,MIA,1,3.1392045831275897,0.3286972397537031,1.0318478814962129,0.0,1.0318478814962129,0.275955349148045,0.275955349148045,0.08625177344530055
Jock Landale,ATL,MIA,1,2.8500871232657015,0.3340760149954125,0.9521457485303446,0.0,0.9521457485303446,0.24664340464552614,0.24664340464552614,0.07171303054625666
Jaime Jaquez Jr.,MIA,ATL,0,2.642362433516036,0.333439373572892,0.8810676745841295,0.0,0.8810676745841295,0.22059786510583157,0.22059786510583157,0.0597757718562244
Myron Gardner(TW),MIA,ATL,0,2.1014863199711877,0.3340760149954125,0.7020561753433487,0.0,0.7020561753433487,0.15652004406413944,0.15652004406413944,0.03439222293021449
Dru Smith,MIA,ATL,0,1.2709660897599289,0.32628616841681435,0.41469865561546815,0.0,0.41469865561546815,0.06553593956511028,0.06553593956511028,0.008737824728044852
Dyson Daniels,ATL,MIA,1,1.0674514936981434,0.3340760149954125,0.35660994121557643,0.0,0.35660994121557643,0.05031131080449036,0.05031131080449036,0.005798689896133413
