player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Brice Sensabaugh,UTA,MEM,0,5.4166015093598885,0.3340760149954125,1.8095566470650881,0.0,1.8095566470650881,0.5400005352159803,0.5400005352159803,0.27193936831932686
Jaren Jackson Jr.,UTA,MEM,0,5.326486319971189,0.3340760149954125,1.7794513237035545,0.0,1.7794513237035545,0.5310212313926229,0.5310212313926229,0.26388282019707443
Lauri Markkanen,UTA,MEM,0,4.967663671878925,0.3286972397537031,1.632857336971348,0.0,1.632857336971348,0.4856172498877174,0.4856172498877174,0.22516653299221379
Ty Jerome,MEM,UTA,1,4.60767348517901,0.33520443255498117,1.5445125759980625,0.0,1.5445125759980625,0.4569606351409361,0.4569606351409361,0.20240681848079967
Ace Bailey,UTA,MEM,0,4.472362433516037,0.333439373572892,1.4912617282225222,0.0,1.4912617282225222,0.4392456947360349,0.4392456947360349,0.18896289227201313
Jaylen Wells,MEM,UTA,1,4.456296813510736,0.3315899872123996,1.477663403406682,0.0,1.477663403406682,0.4346710265592717,0.4346710265592717,0.18556744194513775
Olivier-Maxence Prosper(TW),MEM,UTA,1,3.84961897661326,0.33520443255498117,1.2904093446085352,0.0,1.2904093446085352,0.36977525802219846,0.36977525802219846,0.14068461811613964
Cam Spencer,MEM,UTA,1,3.603372238096917,0.33456672111400265,1.2055684346533109,0.0,1.2055684346533109,0.3393844092983256,0.3393844092983256,0.12172270655218642
GG Jackson II,MEM,UTA,1,3.2055135328600954,0.33456672111400265,1.072458152175565,0.0,1.072458152175565,0.2908744844450861,0.2908744844450861,0.09410032930959988
Jahmai Mashack(TW),MEM,UTA,1,3.112587123265701,0.3340760149954125,1.0398407024666403,0.0,1.0398407024666403,0.27889389198758385,0.27889389198758385,0.0877737095881892
Taylor Hendricks,MEM,UTA,1,3.0411257360290067,0.3340760149954125,1.0159671669925614,0.0,1.0159671669925614,0.27011486251444716,0.27011486251444716,0.08326171577289165
Javon Small(TW),MEM,UTA,1,2.897202079541147,0.33520443255498117,0.9711549790697016,0.0,0.9711549790697016,0.2536311204068644,0.2536311204068644,0.07507290444597992
Kentavious Caldwell-Pope,MEM,UTA,1,2.4556345553663683,0.333439373572892,0.8188052478653091,0.0,0.8188052478653091,0.19798295606795835,0.19798295606795835,0.05016450799254257
Kyle Filipowski,UTA,MEM,0,1.9989308169995934,0.3340760149954125,0.6677948415947483,0.0,0.6677948415947483,0.14469105990721964,0.14469105990721964,0.030340970210897655
Isaiah Collier,UTA,MEM,0,1.8042045831275886,0.3286972397537031,0.5930370664250189,0.0,0.5930370664250189,0.11961394377347867,0.11961394377347867,0.02243303490479287
Jusuf Nurkić,UTA,MEM,0,1.5023661872043437,0.3298345177603782,0.49553222685604276,0.0,0.49553222685604276,0.0888521300219629,0.0888521300219629,0.014051216703977687
Cody Williams,UTA,MEM,0,1.4496140567202358,0.333439373572892,0.4833584029952542,0.0,0.4833584029952542,0.08519988830185721,0.08519988830185721,0.013157406878077094
Kyle Anderson,MEM,UTA,1,0.040966089759928846,0.32628616841681435,0.013366668462786477,0.0,0.013366668462786477,8.854182445661163e-05,8.854182445661163e-05,3.940632470333938e-07
