player,team,opp,is_home,game_date,stat_name,pred_mean,model_name,model_version,baseline_mean,delta_mean,p_over_2,pred_fg3a,pred_rate
Derrick White,BOS,DEN,0,2026-02-25,fg3,2.90855768196874,threes,v1,0.8775510204081634,2.0310066615605766,0.5560141822219058,8.293348950048165,0.3507096710252194
Tim Hardaway Jr.,DEN,BOS,1,2026-02-25,fg3,2.7995801102274873,threes,v1,3.16,-0.3604198897725128,0.06507369929387885,7.290818357883153,0.3839870879790138
Payton Pritchard,BOS,DEN,0,2026-02-25,fg3,2.4801738060870413,threes,v1,2.0816326530612246,0.3985411530258167,0.10618896720066995,7.438155186987416,0.333439373572892
Baylor Scheierman,BOS,DEN,0,2026-02-25,fg3,2.385502300136169,threes,v1,2.8703703703703702,-0.4848680702342012,0.09405925762387601,6.212454467392259,0.3839870879790138
Jaylen Brown,BOS,DEN,0,2026-02-25,fg3,2.378665194137998,threes,v1,2.5882352941176467,-0.20957009997964882,0.09321210210943232,6.725963329768526,0.35365420201002784
Jamal Murray,DEN,BOS,1,2026-02-25,fg3,2.1367111985891993,threes,v1,0.0,2.1367111985891993,0.6297350085384699,6.3407546356382225,0.33698058375888107
Sam Hauser,BOS,DEN,0,2026-02-25,fg3,2.00846521857905,threes,v1,0.5789473684210527,1.4295178501579975,0.3256148556712257,5.960180839428311,0.33698058375888107
Nikola Vučević,BOS,DEN,0,2026-02-25,fg3,1.7173638680001755,threes,v1,2.5660377358490565,-0.848673867848881,0.030731698729306922,5.03336644469039,0.3411958749420663
Nikola Jokić,DEN,BOS,1,2026-02-25,fg3,1.5927677054733567,threes,v1,1.7058823529411764,-0.11311464746781974,0.07781983193347364,4.504080340817604,0.3536277297363282
Julian Strawther,DEN,BOS,1,2026-02-25,fg3,1.5658151205077426,threes,v1,0.6874999999999999,0.8783151205077427,0.20784618837379554,4.6959514820628865,0.333439373572892
Bruce Brown,DEN,BOS,1,2026-02-25,fg3,1.281749503702173,threes,v1,1.9032258064516128,-0.6214763027494397,0.04129593682068666,3.338001573043063,0.3839870879790138
Cameron Johnson,DEN,BOS,1,2026-02-25,fg3,1.2086571832574384,threes,v1,1.948717948717949,-0.7400607654605105,0.03452480370909461,3.4463183741817156,0.3507096710252194
Christian Braun,DEN,BOS,1,2026-02-25,fg3,0.8048822954370629,threes,v1,0.5636363636363637,0.2412459318006992,0.04812716631829339,2.4557892019451963,0.32774893496539803
Neemias Queta,BOS,DEN,0,2026-02-25,fg3,0.7231672726159575,threes,v1,2.865384615384615,-2.1422173427686575,0.0009070592375640674,2.159668083313977,0.3348511181895454
