player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3
Anthony Edwards,MIN,GSW,1,8.865966494917124,0.35413745124157264,3.13977077730313
Stephen Curry,GSW,MIN,0,8.817524848735118,0.3401732087913564,2.9994857213917445
Donte DiVincenzo,MIN,GSW,1,8.275518342496438,0.32861943884923694,2.719496193897747
Moses Moody,GSW,MIN,0,5.993800990425638,0.3385143064488721,2.0289873852664972
Naz Reid,MIN,GSW,1,5.225575447244429,0.3442752697184372,1.799036396534119
Buddy Hield,GSW,MIN,0,5.100884520970442,0.3268341355389001,1.6671431828951309
Draymond Green,GSW,MIN,0,4.62087929973997,0.3518298052727043,1.625763064216184
De'Anthony Melton,GSW,MIN,0,4.762133336903661,0.3411715597664632,1.624704458367294
Brandin Podziemski,GSW,MIN,0,5.02980193081725,0.31516304801987693,1.5852077074526267
Al Horford,GSW,MIN,0,4.3672943798980075,0.3338133900729749,1.4578613424004045
Julius Randle,MIN,GSW,1,4.421507654395476,0.32387272543923173,1.4320057345794874
Quinten Post,GSW,MIN,0,4.125486666378982,0.33279630336898225,1.372946712168951
Will Richard,GSW,MIN,0,3.7371262452450447,0.34945426188498485,1.305954693603112
Jaden McDaniels,MIN,GSW,1,3.4581281220636426,0.35648316058197416,1.2327644426506543
Bones Hyland,MIN,GSW,1,3.503493714149372,0.3430456952141732,1.2018584368488572
Jimmy Butler,GSW,MIN,0,3.299547714001556,0.35648836574348003,1.17625037225705
Mike Conley,MIN,GSW,1,3.328931924551129,0.34765805949387596,1.1573300130766593
Gui Santos,GSW,MIN,0,3.0375700404614885,0.3373204981316711,1.0246346391583097
Jonathan Kuminga,GSW,MIN,0,2.6456447660162277,0.35648794115330396,0.9431404556601396
Gary Payton II,GSW,MIN,0,1.9322389513912988,0.3351806430965031,0.6476490943434483
Rob Dillingham,MIN,GSW,1,1.8537698699091203,0.33901635001822256,0.6284582950703452
Jaylen Clark,MIN,GSW,1,1.6552200295845942,0.35649150287548026,0.5900718759362089
Pat Spencer(TW),GSW,MIN,0,1.5592317394619888,0.3444287959619352,0.5370443106485266
Joe Ingles,MIN,GSW,1,1.5571057733773515,0.33394692265663856,0.5199906812702517
Leonard Miller,MIN,GSW,1,1.4547661380106496,0.330628084091171,0.4809865410111731
Rudy Gobert,MIN,GSW,1,0.9802937983804182,0.356486242965525,0.34946125318703913
Joan Beringer,MIN,GSW,1,0.9647460211800511,0.3485700124770714,0.33628153263993543
Trayce Jackson-Davis,GSW,MIN,0,0.8477307169334127,0.3319513812422062,0.2814053824074921
