player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3
Nickeil Alexander-Walker,ATL,IND,1,7.989565500175928,0.348266309527138,2.782496491471613
Tyrese Haliburton,IND,ATL,0,6.88269613325064,0.35178852755045664,2.421253538293464
Pascal Siakam,IND,ATL,0,6.861994471874168,0.3517784674505543,2.4139018989700705
Georges Niang,ATL,IND,1,6.4712013813008005,0.3578474401437613,2.3157028489532636
Onyeka Okongwu,ATL,IND,1,6.347633839844305,0.35879939739571143,2.2775271966247628
Trae Young,ATL,IND,1,6.333935665725983,0.3517841543674494,2.228178201985243
Aaron Nesmith,IND,ATL,0,6.063301400213303,0.36747320734647937,2.228100812644782
CJ McCollum,ATL,IND,1,5.28454122911253,0.3674715142232942,1.9419183674374096
Zaccharie Risacher,ATL,IND,1,5.283153701109547,0.33511579438960115,1.7704682494296873
Bennedict Mathurin,IND,ATL,0,5.266218964642918,0.33511748770078276,1.764802069113352
Kristaps Porziņģis,ATL,IND,1,5.251218964642918,0.33511579438960115,1.7597664148500505
Jalen Johnson,ATL,IND,1,4.800911138545184,0.35637221986081424,1.7109113597978565
Duane Washington Jr.,IND,ATL,0,4.995705653902853,0.3295622112770524,1.646395802189497
Corey Kispert,ATL,IND,1,4.282432996681669,0.37845698581865717,1.6207166838945037
Obi Toppin,IND,ATL,0,4.7167646557167195,0.3396629422462373,1.6021101608438013
Jay Huff,IND,ATL,0,4.062864600548939,0.3563743300364038,1.4479006500492493
AJ Griffin,ATL,IND,1,3.9751751726474938,0.35785115599542094,1.4225210308162026
RayJ Dennis,IND,ATL,0,3.596923789918459,0.37603062294892753,1.3525534934228554
Chris Duarte,IND,ATL,0,3.7236496092610123,0.35784706191544297,1.3324970722766405
Mouhamed Gueye,ATL,IND,1,3.2399351356794006,0.3708365738273188,1.2014864451380982
Keaton Wallace,ATL,IND,1,3.2304190687455256,0.36511983860925207,1.1794900890206166
Garrison Mathews,IND,ATL,0,3.4456867182129622,0.3396629422462373,1.1703720887669962
Johnny Furphy,IND,ATL,0,3.247402247433187,0.3459779800076872,1.1235296698393575
Ethan Thompson(TW),IND,ATL,0,3.2767680904923466,0.342256958244263,1.1214966795237724
Quenton Jackson(TW),IND,ATL,0,3.4809557236325963,0.31844541254930236,1.1084943814780375
Terance Mann,ATL,IND,1,3.0419851119088452,0.3451208743921067,1.0498525617097512
Keifer Sykes,IND,ATL,0,3.056011055273581,0.33966355016542765,1.0380155643790194
Quenton Jackson,IND,ATL,0,2.889311523999811,0.35784574669945,1.0339278397530383
Skylar Mays,ATL,IND,1,2.115735066864106,0.3942140854844547,0.8340525645112252
Kobe Bufkin,ATL,IND,1,2.2306416434353915,0.3565521258026534,0.7953400198708133
Nathan Knight,ATL,IND,1,2.028452150337708,0.38512011802565016,0.7811977315474421
Taelon Peter(TW),IND,ATL,0,2.2504577466753424,0.3151141011014058,0.7091509699102957
Asa Newell,ATL,IND,1,2.212650494867691,0.31844541254930236,0.7046083996655599
Cassius Stanley,IND,ATL,0,1.677759623154965,0.40512350530447416,0.679699859590853
Caleb Houstan(TW),ATL,IND,1,2.10631487174244,0.3151141011014058,0.6637295174456418
Kam Jones,IND,ATL,0,1.6881961954913507,0.376031707832371,0.6348152985467238
Dominick Barlow,ATL,IND,1,1.8684071744050876,0.33511748770078276,0.6261359182887513
RayJ Dennis(TW),ATL,IND,1,1.91131487174244,0.3151141011014058,0.6022822677308677
Jacob Toppin,ATL,IND,1,1.74322104973405,0.33511983860925204,0.5841879568471258
T.J. McConnell,IND,ATL,0,1.6818231235376078,0.3441865923584375,0.5788609698400327
Dyson Daniels,ATL,IND,1,1.567313749831554,0.348266309527138,0.5458425755249753
Enrique Freeman,IND,ATL,0,1.6237853804787084,0.32511645181704996,0.5279193414136362
James Wiseman,IND,ATL,0,1.303880387035973,0.34511748770078277,0.4499919234361793
James Johnson,IND,ATL,0,1.1851611702774152,0.3620449378068669,0.4290816021842004
Sharife Cooper,ATL,IND,1,1.2972643026392605,0.3295608465192134,0.42752752173695174
Jahlil Okafor,IND,ATL,0,1.0971468243922924,0.3565521258026534,0.3911900325547023
Tyrese Martin,ATL,IND,1,1.0041014852348586,0.35785115599542094,0.35931887722801326
Isaiah Jackson,IND,ATL,0,0.9728241452153336,0.35636913350914634,0.34668449768716436
Tony Bradley,IND,ATL,0,0.9603495902476452,0.3563739079669222,0.34224353649098577
Christian Koloko,ATL,IND,1,0.8191959565048242,0.35637748194248314,0.2919429921966532
