player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3
Luka Dončić,LAL,CHI,0,9.003842975946183,0.33848893543767966,3.0477012237760532
Coby White,CHI,LAL,1,8.051752656161911,0.3564505362030265,2.8700515516630563
Austin Reaves,LAL,CHI,0,5.966506534084118,0.3588627317388025,2.141156833758841
Matas Buzelis,CHI,LAL,1,6.096113396522798,0.3444034311868176,2.099522370666376
Rui Hachimura,LAL,CHI,0,4.855897772625043,0.35411208751877093,1.719532097042004
Ayo Dosunmu,CHI,LAL,1,4.990710919260323,0.3339215554968093,1.666505953194318
Marcus Smart,LAL,CHI,0,4.759894088473957,0.3351552726228629,1.5953036008784425
Kevin Huerter,CHI,LAL,1,4.460415072296942,0.3564536199406094,1.5899310989579
Jalen Smith,CHI,LAL,1,4.740452329246812,0.32384735883904364,1.5351829665289727
Josh Giddey,CHI,LAL,1,4.268566584814099,0.35645888084457417,1.5215684676333798
Nikola Vučević,CHI,LAL,1,4.202409880967803,0.3151376814196888,1.3243377062633839
Markieff Morris,LAL,CHI,0,3.572608335718744,0.3675348508021032,1.3130580716427387
LeBron James,LAL,CHI,0,3.8148134036168746,0.332770933455114,1.269459017278668
Isaac Okoro,CHI,LAL,1,3.815981426313905,0.32680876917402424,1.2470961931245848
Jake LaRavia,LAL,CHI,0,3.559339186867638,0.34942889872166666,1.243735972244031
Patrick Williams,CHI,LAL,1,3.562566834255666,0.34014784051218183,1.2117994153523848
Jevon Carter,CHI,LAL,1,3.2228970464751354,0.3564557392617686,1.148820149265865
Gabe Vincent,LAL,CHI,0,3.3496990964439974,0.33060271527453644,1.107419616637047
Zach Collins,CHI,LAL,1,2.6301208921664965,0.3518417995580256,0.9253864677550199
Tre Jones,CHI,LAL,1,2.2680687722820583,0.3564553153630101,0.8084651694887962
Nick Smith Jr.(TW),LAL,CHI,0,2.313489392558483,0.3483296393990875,0.8058569258635104
Malcolm Hill,CHI,LAL,1,2.5085266486916007,0.31517744317425594,0.7906310152691037
Jarred Vanderbilt,LAL,CHI,0,2.1549362786872743,0.3389909841684583,0.7305039699325142
Onuralp Bitim,CHI,LAL,1,2.2336917856110405,0.3185087520802794,0.7114503831669435
Cam Reddish,LAL,CHI,0,2.1480749518797033,0.3185087520802794,0.6841806722981105
Drew Timme(TW),LAL,CHI,0,1.9828305596855214,0.34114619417424774,0.6764350991291092
Shake Milton,LAL,CHI,0,1.7077851040022283,0.376095049494498,0.6422895232156844
E.J. Liddell,CHI,LAL,1,1.7304206284604104,0.36753654504318406,0.6359928192557945
Maxi Kleber,LAL,CHI,0,1.794967612023516,0.3483296393990875,0.6252404210291925
Devon Dotson,CHI,LAL,1,1.6108558009069802,0.31517744317425594,0.5077054126522803
Alex Len,LAL,CHI,0,1.3370543639265087,0.3708999140656631,0.49591334868146186
Trey Jemison,LAL,CHI,0,0.9727984988762612,0.3785203257512268,0.3682240046849468
Adou Thiero,LAL,CHI,0,1.0497321536354374,0.3460413098796367,0.3632506894667788
Deandre Ayton,LAL,CHI,0,0.9273428326206893,0.33378802319296885,0.30953593092262804
Jaxson Hayes,LAL,CHI,0,0.8448711588174916,0.34424989814742835,0.29084681037062127
