player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3
Lonnie Walker IV,PHI,CHO,0,9.191181391390497,0.32390287988646904,2.9770501222303056
Tyrese Maxey,PHI,CHO,0,7.025440746507036,0.3226611589861147,2.266836853656235
Paul George,PHI,CHO,0,5.243494984461778,0.3416988834762963,1.7916963817041491
Jared Butler,PHI,CHO,0,5.630774565597043,0.3151932024671142,1.7747818677009055
Kelly Oubre Jr.,PHI,CHO,0,4.993302814893588,0.3331710321008643,1.6636238524302476
VJ Edgecombe,PHI,CHO,0,4.804168921840092,0.3373506396239201,1.6206894586441136
Marcus Bagley,PHI,CHO,0,4.123963951887898,0.3338435450262778,1.376758745258834
Jeff Dowtin Jr.,PHI,CHO,0,3.9908887316878205,0.333977078116018,1.3328653576952394
Joel Embiid,PHI,CHO,0,4.004235058431396,0.32864957815242535,1.3159901627766306
Ricky Council IV,PHI,CHO,0,3.8314353483074686,0.32686429015889096,1.2523593954142038
Quentin Grimes,PHI,CHO,0,3.7141286606234774,0.33198152105102974,1.2330220821330058
Jalen Hood-Schifino,PHI,CHO,0,3.488136113231679,0.3412017138864706,1.190158020103941
Alex Reese,PHI,CHO,0,3.3878723878018238,0.3402033662751517,1.1525655908408166
Eric Gordon,PHI,CHO,0,2.970966494917123,0.3541676031770245,1.052220082624043
Reggie Jackson,PHI,CHO,0,3.1150046499901554,0.33065824224781326,1.0300019621595096
Wendell Moore Jr.,CHO,PHI,1,2.8846292586114766,0.34445894890328244,0.9936363623969641
Jabari Walker(TW),PHI,CHO,0,2.614375554940141,0.34768820670972533,0.9089875483628805
Kyle Lowry,PHI,CHO,0,2.435329970006434,0.34948441280857023,0.8511098645628116
Isaiah Mobley,PHI,CHO,0,2.424772646237138,0.33904650430489314,0.8221106894408269
Andre Drummond,PHI,CHO,0,2.3201896515690636,0.3486001571701358,0.8088184772014982
Dominick Barlow(TW),PHI,CHO,0,2.0256751025935764,0.3569764352731835,0.7231182771454951
Terquavion Smith,PHI,CHO,0,1.9274185531400576,0.3328264632108606,0.6414959001685996
Jared McCain,PHI,CHO,0,1.7963028325408448,0.3518599540061086,0.6320470320388643
Justin Edwards,PHI,CHO,0,1.7062400768876895,0.3430758397344855,0.5853697471668772
Myles Powell,PHI,CHO,0,1.4767236047512367,0.3352108039507846,0.49501370676176276
Trendon Watford,PHI,CHO,0,1.0454984773676486,0.32429737698860744,0.3390524138559114
Adem Bona,PHI,CHO,0,0.8060255538844718,0.351849923091658,0.2836000291441625
