player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3
Jayson Tatum,BOS,POR,1,8.436823689515792,0.3351082834812236,2.8272495046273614
Sam Hauser,BOS,POR,1,7.8866806100283675,0.3384181225647139,2.6689956453133323
Jaylen Brown,BOS,POR,1,6.889625691129651,0.3563678278105376,2.4552409419755477
Anfernee Simons,BOS,POR,1,6.651787424259281,0.3400770363825078,2.262120153888531
Jerami Grant,POR,BOS,0,6.069408498310065,0.35635947782312244,2.1628912431529965
Derrick White,BOS,POR,1,6.206214770623724,0.3337172241895573,2.0711207659767794
Dalano Banton,POR,BOS,0,6.556857726578579,0.3151065901014869,2.0661090800027635
Jrue Holiday,POR,BOS,0,5.702259372856474,0.35636467426346075,2.0320838039737636
Scoot Henderson,POR,BOS,0,5.939323689515791,0.33510997688394983,1.9903266242999325
Deni Avdija,POR,BOS,0,5.634072805371399,0.3459704697016788,1.949222814807798
Keon Johnson,POR,BOS,0,5.625907174405087,0.33510997688394983,1.885297623166136
Payton Pritchard,BOS,POR,1,5.364338835732623,0.3441790832233788,1.8462932225820214
John Butler,POR,BOS,0,4.2283839858636565,0.33965543142940435,1.4361935869677047
Donovan Clingan,POR,BOS,0,3.837846459275726,0.3563642523550329,1.3676712841132044
Greg Brown III,POR,BOS,0,3.8436044420557813,0.3451133637583724,1.326479257954493
Kris Murray,POR,BOS,0,3.3321471007123353,0.3674640044663714,1.224444117098764
Matisse Thybulle,POR,BOS,0,3.028223278540983,0.3760241980080209,1.1386852297025927
Baylor Scheierman,BOS,POR,1,3.4341169540983048,0.33053190959780304,1.1350852346203035
Luka Garza,BOS,POR,1,2.8972492419031437,0.3327001241804271,0.9639151825628242
Duop Reath,POR,BOS,0,2.6423602839726383,0.35879188745574736,0.9480574336246474
Rayan Rupert,POR,BOS,0,2.643320941876774,0.34825879922112957,0.9205597771740706
Jabari Walker,POR,BOS,0,2.797767558399573,0.31843790158313645,0.8909152304141352
Drew Peterson,BOS,POR,1,2.716857726578578,0.3151065901014869,0.8560997740130535
Blake Wesley,POR,BOS,0,2.25344138281278,0.37082906412821137,0.8356415590562458
Torrey Craig,BOS,POR,1,2.5841104714359338,0.31843790158313645,0.8228787159830682
Chris Boucher,BOS,POR,1,2.165186326848954,0.37844947633632003,0.8194136315665469
Reggie Perry,POR,BOS,0,2.410686718212962,0.33965543142940435,0.8188028373157585
JD Davison,BOS,POR,1,2.530274848310684,0.3151065901014869,0.7973062794707366
Jordan Walsh,BOS,POR,1,2.3837470749849876,0.33385075546818793,0.7958157618288213
Josh Minott,BOS,POR,1,2.0735249145273196,0.36746569768108195,0.7619492793758873
Hugo González,BOS,POR,1,2.1118073264068937,0.35636256489308876,0.7525690753983769
Justin Minaya,POR,BOS,0,2.0178018429108127,0.3351082834812236,0.6761821119830921
Sidy Cissoko,POR,BOS,0,1.8912189646429187,0.3422494472443441,0.6472686452670596
Xavier Tillman Sr.,BOS,POR,1,1.7777757132275784,0.3517709573275617,0.625369864555754
CJ Elleby,POR,BOS,0,1.7807210497340495,0.3351123276334053,0.5967415758421782
Robert Williams,POR,BOS,0,1.461485208154497,0.34825879922112957,0.5089750836713277
Bryce McGowens,POR,BOS,0,1.2254575123309612,0.3517766435506165,0.43108733050167375
Keljin Blevins,POR,BOS,0,1.0406980861877053,0.36511232763340534,0.3799717006116234
Neemias Queta,BOS,POR,1,0.9875480197218605,0.3350844612972638,0.3309119961936793
Ibou Badji,POR,BOS,0,0.9344851119088453,0.34510997688394984,0.32250013536925687
Cody Zeller,POR,BOS,0,0.9712853804787083,0.3251089406580945,0.3157735611241271
Amari Williams(TW),BOS,POR,1,0.7459884849714766,0.3237765608608207,0.24153358610583872
