game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score
2025-01-07,Alex Sarr,WAS,HOU,ast,2.517081829945453,3.6000000000000005,27.486666800000002,poisson,0.0,1,ok,ast_hgbr,v1,3.5,under,0.7539185103094299,0.9829181700545471,0.5241144421226549,0.7635185222222223,0.2539185103094299,0.04,0.0,0.6696428571428571,0.0,0.0,0.8418184485535124,0.8293743782246226,0.8082146684316713,1,1,1,0.8293743782246226
2025-01-07,Alex Sarr,WAS,HOU,fg3,1.5342007548363832,1.2941176470588236,27.486666800000002,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.7891185965711728,0.9657992451636168,0.6066893253916736,0.7635185222222223,0.2891185965711728,0.1,0.0,0.6634615384615384,0.0,0.0,0.78478988091379,0.8570091182403816,0.9259012643783194,1,1,1,0.8570091182403816
2025-01-07,Alex Sarr,WAS,HOU,pts,13.520192302074841,13.13197835322322,27.486666800000002,nbinom,0.05344975309597418,1,ok,pts_composed,v1,14.5,under,0.6118210148117345,0.9798076979251586,0.2571311328136589,0.7635185222222223,0.11182101481173445,0.06,0.0,0.6096096096096096,0.0,0.0,0.47257017678064783,0.4435858032711889,0.4408761109233159,0,1,1,0.4435858032711889
2025-01-07,Alex Sarr,WAS,HOU,reb,5.83165372364591,7.6,27.486666800000002,poisson,0.0,1,ok,reb_hgbr,v1,4.5,over,0.6917781807124233,1.3316537236459096,0.5094814606745195,0.7635185222222223,0.19177818071242325,0.03,0.0,0.8078078078078078,0.07,0.0,0.6800715272161184,0.8548668333405139,0.9474476306031944,1,1,1,0.8548668333405139
2025-01-07,Andrew Wiggins,GSW,MIA,ast,2.595057998899991,2.5999999999999996,30.9333334,poisson,0.0,1,ok,ast_hgbr,v1,1.5,over,0.7316593100498836,1.095057998899991,0.5775427962737857,0.8592592611111111,0.2316593100498836,0.04,0.0,0.7380952380952381,0.0,0.0,0.8657504517442213,0.8713413068022995,0.8678866138833616,1,1,1,0.8713413068022995
2025-01-07,Andrew Wiggins,GSW,MIA,fg3,1.969368678752303,1.7309090909090907,30.9333334,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.5,over,0.8190824531715946,1.469368678752303,0.8527048173151489,0.8592592611111111,0.31908245317159456,0.1,0.0,0.9134615384615384,0.0,0.0,0.935251814876993,1.091658275123862,1.2273595374577075,1,1,1,1.091658275123862
2025-01-07,Andrew Wiggins,GSW,MIA,pts,16.653743238175757,13.958844919786095,30.9333334,nbinom,0.05344975309597418,1,ok,pts_composed,v1,15.5,over,0.550020254085446,1.1537432381757569,0.27459382446422587,0.8592592611111111,0.05002025408544597,0.06,0.0,0.6486486486486487,0.0,0.0,0.4300746452777183,0.41850523011128105,0.4404641711078242,0,0,1,0.41850523011128105
2025-01-07,Andrew Wiggins,GSW,MIA,reb,5.002124177298579,4.6000000000000005,30.9333334,poisson,0.0,1,ok,reb_hgbr,v1,6.5,under,0.7618727938724545,1.4978758227014213,0.6113970272150044,0.8592592611111111,0.26187279387245455,0.03,0.0,0.9279279279279279,0.16,0.0,0.840602813189115,1.127573545863441,1.2330703344209843,1,1,1,1.127573545863441
2025-01-07,Anthony Edwards,MIN,NOP,ast,4.154698672539658,4.3999999999999995,38.9700002,poisson,0.0,1,ok,ast_hgbr,v1,5.5,under,0.7605087696453247,1.3453013274603416,0.5925403494735362,1.0,0.26050876964532466,0.04,0.0,0.75,0.0,0.0,0.96668203824388,0.940921079064144,0.9202927235713021,1,1,1,0.940921079064144
2025-01-07,Anthony Edwards,MIN,NOP,fg3,3.368672041167059,4.445161290322581,38.9700002,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,4.5,under,0.7304814156871335,1.1313279588329408,0.5412698025970795,1.0,0.23048141568713354,0.1,0.0,0.6025641025641025,0.0,0.0,0.7666586815614116,0.7986942595012226,0.8571615614847109,1,1,1,0.7986942595012226
2025-01-07,Anthony Edwards,MIN,NOP,pts,23.34958764399826,27.006479541963415,38.9700002,nbinom,0.05344975309597418,1,ok,pts_composed,v1,24.5,under,0.5937435105731089,1.1504123560017412,0.23313513642564035,1.0,0.09374351057310892,0.06,0.0,0.5465465465465466,0.0,0.0,0.521036505911991,0.45429315530126646,0.440027429265746,0,1,1,0.45429315530126646
2025-01-07,Anthony Edwards,MIN,NOP,reb,6.096285197793243,6.3999999999999995,38.9700002,poisson,0.0,1,ok,reb_hgbr,v1,7.5,under,0.7306205669121015,1.403714802206757,0.5269426472372518,1.0,0.23062056691210153,0.03,0.0,0.8288288288288288,0.07,0.0,0.8185623380270878,0.9589222757376757,1.0326156106141489,1,1,1,0.9589222757376757
2025-01-07,Austin Reaves,LAL,DAL,ast,6.166869597689287,10.599999999999998,39.39,poisson,0.0,1,ok,ast_hgbr,v1,7.5,under,0.7207040653088139,1.3331304023107133,0.49797539121511625,1.0,0.22070406530881392,0.04,0.0,0.6369047619047619,0.0,0.0,0.8729012250995647,0.8240506502659302,0.796896962931346,1,1,1,0.8240506502659302
2025-01-07,Austin Reaves,LAL,DAL,fg3,2.27316735155448,2.1492537313432836,39.39,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,3.5,under,0.7854985498840408,1.2268326484455199,0.6781116717678569,1.0,0.2854985498840408,0.1,0.0,0.75,0.0,0.0,0.8814963998144727,0.9539644414119591,1.0379470413808651,1,1,1,0.9539644414119591
2025-01-07,Austin Reaves,LAL,DAL,pts,18.37816719130693,23.53218833529793,39.39,nbinom,0.05344975309597418,1,ok,pts_composed,v1,19.5,under,0.6044616126453692,1.1218328086930711,0.2548424594629664,1.0,0.10446161264536924,0.06,0.0,0.5945945945945946,0.0,0.0,0.542441496746788,0.48129024959180444,0.46920498051693177,0,1,1,0.48129024959180444
2025-01-07,Austin Reaves,LAL,DAL,reb,4.413699169321134,6.0,39.39,poisson,0.0,1,ok,reb_hgbr,v1,5.5,under,0.7175979488899569,1.0863008306788657,0.4668776154774777,1.0,0.21759794888995687,0.03,0.0,0.7267267267267268,0.0,0.0,0.7807311084901878,0.8206733524570877,0.8721935587844662,1,1,1,0.8206733524570877
2025-01-07,Bam Adebayo,MIA,GSW,ast,4.381456975974202,3.4000000000000004,32.246666600000005,poisson,0.0,1,ok,ast_hgbr,v1,5.5,under,0.7230362433987993,1.118543024025798,0.48217285523047204,0.895740738888889,0.22303624339879935,0.04,0.0,0.6160714285714286,0.0,0.0,0.8309181814525679,0.7918339890867453,0.7657927617470685,1,1,1,0.7918339890867453
2025-01-07,Bam Adebayo,MIA,GSW,fg3,1.1689168584059961,0.1,32.246666600000005,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8722118189585935,1.3310831415940039,0.9038237117785021,0.895740738888889,0.37221181895859345,0.1,0.0,0.9358974358974359,0.0,0.0,1.0314935025280267,1.1863760114027937,1.3182836942169123,1,1,1,1.1863760114027937
2025-01-07,Bam Adebayo,MIA,GSW,pts,17.868889243507965,16.127910052910053,32.246666600000005,nbinom,0.05344975309597418,1,ok,pts_composed,v1,16.5,over,0.5608589403726588,1.3688892435079651,0.3151339138415961,0.895740738888889,0.06085894037265882,0.06,0.0,0.7597597597597597,0.0,0.0,0.47041672701999643,0.467529846760979,0.4953712165987704,0,0,1,0.467529846760979
2025-01-07,Bam Adebayo,MIA,GSW,reb,7.839324235256846,9.4,32.246666600000005,poisson,0.0,1,ok,reb_hgbr,v1,6.5,over,0.6666098283322273,1.3393242352568464,0.45048070629570036,0.895740738888889,0.16660982833222726,0.03,0.0,0.7087087087087087,0.0,0.0,0.6718887585818508,0.7333207727137513,0.8030683285422884,0,1,1,0.7333207727137513
2025-01-07,Bradley Beal,PHO,CHA,ast,3.2768625292173867,3.1999999999999997,30.5466666,poisson,0.0,1,ok,ast_hgbr,v1,4.5,under,0.7667967608073859,1.2231374707826133,0.5914426314747283,0.8485185166666667,0.2667967608073859,0.04,0.0,0.7470238095238095,0.0,0.0,0.9181749912546159,0.9149641732185365,0.9002308327549382,1,1,1,0.9149641732185365
2025-01-07,Bradley Beal,PHO,CHA,fg3,1.616097061518475,2.064705882352941,30.5466666,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.5,over,0.7620702155378108,1.116097061518475,0.6900412261703017,0.8485185166666667,0.26207021553781085,0.1,0.0,0.7660256410256411,0.0,0.0,0.8058532589108445,0.9126752534692751,1.015461744833128,1,1,1,0.9126752534692751
2025-01-07,Bradley Beal,PHO,CHA,pts,15.770682385623257,17.315162639801926,30.5466666,nbinom,0.05344975309597418,1,ok,pts_composed,v1,14.5,over,0.5621334131518905,1.2706823856232567,0.31028561553347606,0.8485185166666667,0.06213341315189047,0.06,0.0,0.7417417417417418,0.0,0.0,0.45440770740434894,0.4556597594893219,0.48389002518395613,0,0,1,0.4556597594893219
2025-01-07,Bradley Beal,PHO,CHA,reb,3.223976465356269,3.0,30.5466666,poisson,0.0,1,ok,reb_hgbr,v1,4.5,under,0.7763298123128438,1.276023534643731,0.6208660886546238,0.8485185166666667,0.2763298123128438,0.03,0.0,0.933933933933934,0.16,0.0,0.8592932613150951,1.147884489711488,1.2518372964072084,1,1,1,1.147884489711488
2025-01-07,Brice Sensabaugh,UTA,ATL,ast,1.485351416749781,1.2000000000000002,22.1966672,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.8125148590091423,1.014648583250219,0.6436084702429775,0.6165740888888889,0.31251485900914233,0.04,0.0,0.8303571428571429,0.0,0.0,0.9168756717871751,0.9549034313317704,0.9470118309945241,1,1,1,0.9549034313317704
2025-01-07,Brice Sensabaugh,UTA,ATL,fg3,2.2396675255787764,2.3956521739130436,22.1966672,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,3.5,under,0.7916631252572481,1.2603324744212236,0.7002206357005649,0.6165740888888889,0.29166312525724813,0.1,0.0,0.7852564102564102,0.0,0.0,0.7704459703413781,0.9029484435193108,1.0081435314954414,1,1,1,0.9029484435193108
2025-01-07,Brice Sensabaugh,UTA,ATL,pts,13.40905927936151,14.985830818174403,22.1966672,nbinom,0.05344975309597418,1,ok,pts_composed,v1,14.5,under,0.6208053899700944,1.0909407206384891,0.2873977333220556,0.6165740888888889,0.12080538997009438,0.06,0.0,0.6726726726726727,0.0,0.0,0.4447230918064542,0.4468781624088716,0.45674525278172345,0,1,1,0.4468781624088716
2025-01-07,Brice Sensabaugh,UTA,ATL,reb,2.9978986542640307,4.4,22.1966672,poisson,0.0,1,ok,reb_hgbr,v1,1.5,over,0.8005376470776238,1.4978986542640307,0.7491461298605218,0.6165740888888889,0.30053764707762376,0.03,0.0,0.990990990990991,0.16,0.0,0.8557633421147441,1.231871035573334,1.3858236695213126,1,1,1,1.231871035573334
2025-01-07,Bub Carrington,WAS,HOU,ast,3.9746857004187945,5.199999999999999,34.24999939999999,poisson,0.0,1,ok,ast_hgbr,v1,2.5,over,0.7581639908586292,1.4746857004187945,0.661175337203852,0.951388872222222,0.2581639908586292,0.04,0.0,0.8601190476190477,0.0,0.0,0.9708323698349373,0.9851680505889204,0.9858715687952203,1,1,1,0.9851680505889204
