game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto
2025-01-08,Ivica Zubac,LAC,DEN,fg3,0.0,0.0,29.64666699999999,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,1.0,-1.5,1.5,0.9999997666668223,0.9999997000002001,0.9999996333335779
2025-01-08,DeAndre Jordan,DEN,LAC,fg3,0.0,0.0,11.656666599999994,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,1.0,-1.5,1.5,0.9999997666668223,0.9999997000002001,0.9999996333335779
2025-01-08,Jalen Duren,DET,BRK,fg3,0.0,0.0,24.329999999999988,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,1.0,-1.5,1.5,0.9999997666668223,0.9999997000002001,0.9999996333335779
2025-01-08,Jakob Poeltl,TOR,NYK,fg3,0.0,0.0,30.983333399999985,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,1.0,-1.5,1.5,0.9999997666668223,0.9999997000002001,0.9999996333335779
2025-01-08,Jarrett Allen,CLE,OKC,fg3,0.03938421325822585,0.0,27.45666699999999,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9991296858229666,-1.4606157867417742,1.4606157867417742,0.9902444188179269,0.9877057711022014,0.9851671233864757
2025-01-08,Ron Holland,DET,BRK,ast,1.0134653191135967,0.8,14.489999399999993,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.9172051954902497,-1.4865346808864033,1.4865346808864033,0.9430412380369158,0.9504229644788205,0.957804690920725
2025-01-08,Jericho Sims,NYK,TOR,ast,1.0234608631669646,0.6129032258064516,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,2.5,under,0.9153329951301779,-1.4765391368330354,1.4765391368330354,0.939492015745278,0.946394593063878,0.953297170382478
2025-01-08,Isaiah Joe,OKC,CLE,ast,1.0249116081911702,0.7999999999999999,16.803332999999988,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.9150597700920409,-1.4750883918088298,1.4750883918088298,0.9389759125238455,0.9458090960757899,0.9526422796277341
2025-01-08,Bilal Coulibaly,WAS,PHI,fg3,1.0141013121725344,1.1,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,2.5,under,0.9040380245999491,-1.4858986878274656,1.4858986878274656,0.9343341786767337,0.9429902226986724,0.9516462667206108
2025-01-08,Kenrich Williams,OKC,CLE,fg3,1.01714908364929,1.0,12.27666679999999,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.9034400342038095,-1.48285091635071,1.48285091635071,0.9332343387154308,0.9417469971473227,0.9502596555792145
2025-01-08,Donovan Clingan,POR,NOP,fg3,0.16959667077849958,0.15,13.083332999999993,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9855735363180708,-1.3304033292215005,1.3304033292215005,0.9510500351402718,0.9411861776609006,0.9313223201815295
2025-01-08,Simone Fontecchio,DET,BRK,ast,1.037534132017598,0.870967741935484,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,2.5,under,0.9126666527402751,-1.462465867982402,1.462465867982402,0.9344751326492005,0.9407061269088934,0.9469371211685864
