stat,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
ast,"(0.231, 1.368]",308,1.0207503191410823,1.0584415584415585,0.8290014456374225,0.037691239300476256,1.1323362375393724,0.4383116883116883,0.512987012987013
ast,"(1.368, 1.785]",308,1.5822017042816998,1.5357142857142858,1.1262319218657528,-0.04648741856741409,1.385896842636977,0.4448051948051948,0.461038961038961
ast,"(1.785, 2.531]",308,2.121099732829033,2.2987012987012987,1.3811966742511983,0.17760156587226564,1.8207487500195574,0.4675324675324675,0.4772727272727273
ast,"(2.531, 4.204]",308,3.225318786687755,3.2694805194805197,1.7811671033611467,0.04416173279276436,2.1875888565779915,0.45454545454545453,0.42857142857142855
ast,"(4.204, 12.916]",308,5.993505247133508,5.944805194805195,2.2522653506237935,-0.04870005232831293,2.7856879959128955,0.487012987012987,0.4512987012987013
fg3,"(-0.001, 0.684]",308,0.33023731928003197,0.288961038961039,0.4313194984200265,-0.041276280318993,0.6461256166650298,0.3181818181818182,0.5714285714285714
fg3,"(0.684, 1.167]",308,0.9529566020320167,1.0422077922077921,0.905190356206382,0.08925119017577544,1.1881820859327619,0.4512987012987013,0.4707792207792208
fg3,"(1.167, 1.524]",308,1.3558168257168517,1.3571428571428572,1.0626920882589375,0.001326031426005381,1.289276037248493,0.36363636363636365,0.4155844155844156
fg3,"(1.524, 1.919]",308,1.7021259254799574,1.8344155844155845,1.2722822708688393,0.13228965893562714,1.6253999845069704,0.4837662337662338,0.43506493506493504
fg3,"(1.919, 4.259]",308,2.5400539012571595,2.538961038961039,1.3760203950414658,-0.001092862296120345,1.7162470502778153,0.42857142857142855,0.40584415584415584
pts,"(1.5010000000000001, 7.038]",308,5.4878099073120765,5.613636363636363,3.605827041506584,0.12582645632428727,4.879657795505784,0.43506493506493504,0.4707792207792208
pts,"(7.038, 9.323]",308,8.14273028676228,8.071428571428571,4.302369230954162,-0.07130171533370888,5.483325515167206,0.45454545454545453,0.4772727272727273
pts,"(9.323, 11.737]",308,10.471389443453486,9.918831168831169,4.8141053391509185,-0.5525582746223172,6.004263202237379,0.4025974025974026,0.4253246753246753
pts,"(11.737, 16.963]",308,13.996267516213619,13.805194805194805,5.722950981116161,-0.191072711018814,7.097532587221911,0.44155844155844154,0.4805194805194805
pts,"(16.963, 35.365]",308,21.75325409130459,22.181818181818183,6.149904420755636,0.42856409051359134,7.829504545220211,0.5032467532467533,0.4772727272727273
reb,"(1.3050000000000002, 3.078]",308,2.490092902649209,2.1103896103896105,1.5468089304410504,-0.3797032922595982,1.888720118200661,0.36688311688311687,0.4707792207792208
reb,"(3.078, 3.769]",308,3.424116898615123,3.074675324675325,1.618493772159529,-0.34944157393979813,2.0253385081368394,0.36038961038961037,0.4967532467532468
reb,"(3.769, 4.746]",308,4.240548518047439,3.7240259740259742,1.8829279749746228,-0.5165225440214655,2.3421003914011522,0.36038961038961037,0.4318181818181818
reb,"(4.746, 6.123]",308,5.3577899103902045,5.090909090909091,2.3581342133153025,-0.26688081948111364,2.888347745769968,0.40584415584415584,0.42207792207792205
reb,"(6.123, 13.588]",308,8.163452755360582,8.633116883116884,2.9755127406174844,0.46966412775630195,3.82001641062957,0.5,0.44155844155844154
