player,stat,n,mean_error,mean_abs_error
Zach LaVine,pts,7,14.706600699450807,14.706600699450807
Brice Sensabaugh,pts,4,11.774699633456951,12.913306109547136
Anthony Edwards,pts,7,7.315245833712598,11.111977741790913
Vit Krejci,pts,5,7.106548241619485,7.106548241619485
Karl-Anthony Towns,pts,7,6.248218723436148,6.935888922369537
Jared Butler,pts,5,6.144537661157719,8.409798319825743
Trae Young,pts,6,6.138383548549896,8.342738742520313
Malik Monk,pts,6,6.072617150608063,6.758132250525769
Max Christie,pts,5,5.6992609975193895,5.6992609975193895
Tim Hardaway Jr.,pts,7,5.613570199064682,5.92894427039922
Giannis Antetokounmpo,pts,7,5.180398401942268,8.0528672829472
Paul George,pts,6,5.08906087658788,7.431190183022545
Desmond Bane,pts,5,5.083237065313516,5.083237065313516
Cole Anthony,pts,7,5.028732811338939,6.008329643438304
D'Angelo Russell,ast,3,4.887468639628187,4.901595932932905
Karl-Anthony Towns,reb,7,4.817103121403368,4.817103121403368
Kel'el Ware,pts,8,4.6335873126968465,6.058153668632791
Thomas Bryant,pts,5,4.61041388646642,5.649886334118067
Victor Wembanyama,reb,5,4.591664219737694,5.698281639249434
Toumani Camara,pts,7,4.566599323042019,5.574183747289989
