player,stat,n,mean_error,mean_abs_error
Davion Mitchell,pts,3,-7.853560890723176,7.853560890723176
Dalano Banton,pts,3,-7.55265838396257,7.55265838396257
Vasilije Micić,pts,3,-6.909872209538694,6.909872209538694
Deandre Ayton,pts,6,-6.114320403573743,7.127451629081464
Shake Milton,pts,3,-5.956775109533075,5.956775109533075
De'Andre Hunter,pts,5,-5.768496138946618,5.768496138946618
Tyus Jones,pts,6,-5.696960342185967,7.0354696122559135
Kevin Durant,pts,7,-5.5927005216842876,5.5927005216842876
Khris Middleton,pts,5,-5.520070129340324,6.780217499331305
Bilal Coulibaly,pts,6,-5.38509792885647,5.670557107730495
Trevelin Queen,pts,3,-5.158029121819404,6.871098928226581
Zach Edey,pts,6,-5.031368508394299,5.031368508394299
Payton Pritchard,pts,6,-5.019465083443935,6.991337238846985
Miles McBride,pts,3,-4.792112260021589,4.792112260021589
Zach Collins,pts,3,-4.735776224049367,4.735776224049367
Zaccharie Risacher,pts,6,-4.620343686344733,5.497411551278861
Ja'Kobe Walter,pts,6,-4.597844183051129,4.597844183051129
Kris Dunn,pts,5,-4.562631779965647,4.98374875850998
Kyle Lowry,pts,3,-4.387734345080584,4.387734345080584
Jaxson Hayes,pts,3,-4.342003176346755,4.342003176346755
