stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
ast,<=16,11+,0,,,,,,,
ast,<=16,11-12,0,,,,,,,
ast,<=16,11-15,0,,,,,,,
ast,<=16,13+,0,,,,,,,
ast,<=16,16-20,0,,,,,,,
ast,<=16,2,0,,,,,,,
ast,<=16,21-25,0,,,,,,,
ast,<=16,26-30,0,,,,,,,
ast,<=16,3,0,,,,,,,
ast,<=16,3-4,15,2.7138015225636485,2.533333333333333,1.423531512119311,-0.1804681892303152,1.5464378976523483,0.4,0.4666666666666667
ast,<=16,31+,0,,,,,,,
ast,<=16,4,0,,,,,,,
ast,<=16,5,0,,,,,,,
ast,<=16,5-6,0,,,,,,,
ast,<=16,7-8,0,,,,,,,
ast,<=16,9-10,0,,,,,,,
ast,<=16,<=1,0,,,,,,,
ast,<=16,<=10,0,,,,,,,
ast,<=16,<=2,98,1.0838583830613955,1.2959183673469388,1.0309714380703494,0.21205998428554318,1.589818711999147,0.5510204081632653,0.5306122448979592
ast,<=16,<=4,0,,,,,,,
ast,17-24,11+,0,,,,,,,
ast,17-24,11-12,0,,,,,,,
ast,17-24,11-15,0,,,,,,,
ast,17-24,13+,0,,,,,,,
ast,17-24,16-20,0,,,,,,,
ast,17-24,2,0,,,,,,,
ast,17-24,21-25,0,,,,,,,
ast,17-24,26-30,0,,,,,,,
ast,17-24,3,0,,,,,,,
ast,17-24,3-4,82,2.69629258034465,2.9390243902439024,1.7967748645334691,0.24273180989925272,2.233268951251156,0.45121951219512196,0.4878048780487805
ast,17-24,31+,0,,,,,,,
ast,17-24,4,0,,,,,,,
ast,17-24,5,0,,,,,,,
ast,17-24,5-6,17,4.839751760773059,4.764705882352941,2.1815937222750645,-0.0750458784201176,2.6062463603989183,0.47058823529411764,0.7058823529411765
ast,17-24,7-8,0,,,,,,,
ast,17-24,9-10,0,,,,,,,
ast,17-24,<=1,0,,,,,,,
ast,17-24,<=10,0,,,,,,,
ast,17-24,<=2,197,1.2996073740935163,1.2944162436548223,0.9151226173383673,-0.005191130438693817,1.1927378141692937,0.43147208121827413,0.4873096446700508
ast,17-24,<=4,0,,,,,,,
ast,25-30,11+,0,,,,,,,
ast,25-30,11-12,0,,,,,,,
ast,25-30,11-15,0,,,,,,,
ast,25-30,13+,0,,,,,,,
ast,25-30,16-20,0,,,,,,,
ast,25-30,2,0,,,,,,,
ast,25-30,21-25,0,,,,,,,
ast,25-30,26-30,0,,,,,,,
ast,25-30,3,0,,,,,,,
ast,25-30,3-4,94,2.8532243498215935,3.0531914893617023,1.6788749272771064,0.19996713954010886,2.081397713351707,0.48936170212765956,0.425531914893617
ast,25-30,31+,0,,,,,,,
ast,25-30,4,0,,,,,,,
ast,25-30,5,0,,,,,,,
ast,25-30,5-6,35,4.918605069360597,5.142857142857143,2.303120339201342,0.22425207349654605,2.7063273552526472,0.5428571428571428,0.45714285714285713
ast,25-30,7-8,0,,,,,,,
